,Date,start,end,INP,T
116,16101711461249,1146,1249,,-16.0
117,16101711461249,1146,1249,2.14890128803,-16.0
118,16103110171730,1017,1730,,-16.0
119,16103110171730,1017,1730,0.113881496816,-16.0
120,16100513391439,1339,1439,,-15.0
121,16100513391439,1339,1439,,-15.0
122,16100710411241,1041,1241,,-15.0
123,16100710411241,1041,1241,0.336956491453,-15.0
124,16101310411442,1041,1442,0.186482192491,-15.0
125,16101310411442,1041,1442,,-15.0
126,16101410391219,1039,1219,,-15.0
127,16101410391219,1039,1219,0.624078336952,-15.0
128,16101711461249,1146,1249,,-15.0
129,16101711461249,1146,1249,1.61688863137,-15.0
130,16103110171730,1017,1730,,-15.0
131,16103110171730,1017,1730,0.102553948146,-15.0
