,Date,start,end,INP,T,INP_plus,INP_minus
235,2016-09-28 00:00:00,2016-09-28 12:35:00,2016-09-28 15:35:00,4.75451027115,-23.0,6.33481453548,3.41134180928
240,2016-10-03 00:00:00,2016-10-03 10:26:00,2016-10-03 13:27:00,1.02392130154,-23.0,1.67196427074,0.552747577282
241,2016-10-03 00:00:00,2016-10-03 10:32:00,2016-10-03 13:35:00,3.09395201698,-23.0,3.71640263529,2.53042453601
244,2016-10-03 00:00:00,2016-10-03 10:20:00,2016-10-03 13:59:00,2.6886446733,-23.0,4.02576298581,1.62561311879
245,2016-10-04 00:00:00,2016-10-04 10:33:00,2016-10-04 13:20:00,7.37601693272,-23.0,9.60080880558,5.45793963072
248,2016-10-05 00:00:00,2016-10-05 11:16:00,2016-10-05 12:18:00,6.74948725121,-23.0,10.1354248157,4.08402980675
249,2016-10-06 00:00:00,2016-10-06 14:24:00,2016-10-06 16:54:00,7.46750086031,-23.0,9.57770653387,5.62407296454
250,2016-10-06 00:00:00,2016-10-06 11:40:00,2016-10-06 14:10:00,1.18558011349,-23.0,1.55541758812,0.866963972186
254,2016-10-07 00:00:00,2016-10-07 10:41:00,2016-10-07 12:41:00,20.4731582768,-23.0,24.6593378895,16.7082067342
255,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,4.06335475253,-23.0,5.78171999299,2.65884572123
257,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,4.59287715399,-23.0,6.6387457182,2.94717525645
258,2016-10-10 00:00:00,2016-10-10 12:39:00,2016-10-10 13:39:00,15.2715121979,-23.0,20.8114797223,10.64621134
259,2016-10-10 00:00:00,2016-10-10 13:50:00,2016-10-10 16:36:00,8.73628741298,-23.0,10.8633931366,6.85024594638
260,2016-10-10 00:00:00,2016-10-10 11:29:00,2016-10-10 16:36:00,4.06798190422,-23.0,5.1626722176,3.10930631964
261,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,1.29792333682,-23.0,2.07316363942,0.711924413533
263,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,5.48654405972,-23.0,6.9963985879,4.16222029557
264,2016-10-11 00:00:00,2016-10-11 14:10:00,2016-10-11 16:24:00,4.28671515423,-23.0,5.95676577162,2.903351104
267,2016-10-14 00:00:00,2016-10-14 10:39:00,2016-10-14 12:19:00,15.8060413802,-23.0,19.2283032879,12.7267794724
269,2016-10-17 00:00:00,2016-10-17 11:46:00,2016-10-17 14:49:00,4.82300757607,-23.0,6.52069804806,3.38772147567
270,2016-10-17 00:00:00,2016-10-17 15:10:00,2016-10-17 17:11:00,9.43517466391,-23.0,11.6966316087,7.42175490922
271,2016-10-18 00:00:00,2016-10-18 14:15:00,2016-10-18 16:10:00,6.21668618235,-23.0,8.39042848159,4.37699605702
272,2016-10-18 00:00:00,2016-10-18 10:45:00,2016-10-18 13:52:00,4.24806200774,-23.0,4.98905257686,3.5698336148
273,2016-10-18 00:00:00,2016-10-18 14:00:00,2016-10-18 16:15:00,5.92233219083,-23.0,6.91608742447,5.0074644497
274,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 14:15:00,4.50479491327,-23.0,6.16678517061,3.11720465592
275,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 16:10:00,3.86751280238,-23.0,4.89685679621,2.96261325302
277,2016-10-20 00:00:00,2016-10-20 11:45:00,2016-10-20 13:35:00,1.60086077995,-23.0,2.8278020962,0.770778967823
278,2016-10-20 00:00:00,2016-10-20 13:45:00,2016-10-20 16:00:00,1.6382535487,-23.0,2.96219358546,0.741157956379
280,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,20.5220342696,-23.0,24.0867132781,17.2529539068
281,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,9.28602591276,-23.0,11.8486034801,7.06730799452
282,2016-10-24 00:00:00,2016-10-24 12:05:00,2016-10-24 15:37:00,11.4076993714,-23.0,14.120046814,8.99736450733
284,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,8.80720006798,-23.0,10.3670649851,7.37771356593
285,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,4.52604564236,-23.0,5.55194327593,3.60728767858
286,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,5.85887345234,-23.0,6.9306335656,4.89273304655
287,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,1.27697727027,-23.0,1.6995426477,0.916309953959
289,2016-11-02 00:00:00,2016-11-02 10:29:00,2016-11-02 15:29:00,3.06072464751,-23.0,3.92176392042,2.3100761792
290,2016-09-26 00:00:00,2016-09-26 12:00:00,2016-09-26 15:00:00,4.51667126533,-22.0,5.98193679699,3.26064320644
291,2016-09-26 00:00:00,2016-09-26 12:11:00,2016-09-26 15:12:00,2.84577873819,-22.0,3.45086587518,2.30064050357
292,2016-09-27 00:00:00,2016-09-27 10:57:00,2016-09-27 14:26:00,1.28688842957,-22.0,1.67447480566,0.95221793683
293,2016-09-28 00:00:00,2016-09-28 12:35:00,2016-09-28 15:35:00,1.70926211875,-22.0,2.68722018774,0.968439852213
295,2016-09-30 00:00:00,2016-09-30 11:20:00,2016-09-30 13:55:00,3.81278997826,-22.0,4.54803303711,3.14263914582
296,2016-09-30 00:00:00,2016-09-30 14:21:00,2016-09-30 16:21:00,5.76012083878,-22.0,6.80275775113,4.80964575661
297,2016-09-30 00:00:00,2016-09-30 10:19:00,2016-09-30 13:19:00,8.09816824945,-22.0,10.052154329,6.36195994771
298,2016-10-03 00:00:00,2016-10-03 10:26:00,2016-10-03 13:27:00,0.333783267552,-22.0,0.738148231324,0.106287548715
299,2016-10-03 00:00:00,2016-10-03 10:32:00,2016-10-03 13:35:00,1.55411260111,-22.0,1.99310593113,1.17404240842
302,2016-10-03 00:00:00,2016-10-03 10:20:00,2016-10-03 13:59:00,1.01484476261,-22.0,1.87281600849,0.430960274718
