,T,INP,start,end
152,-25.42,9.98738444244,2016-10-13 16:47:00,2016-10-13 14:57:00
153,-25.42,10.7783969605,2016-10-13 16:47:00,2016-10-13 14:57:00
154,-25.46,11.6448531406,2016-10-13 16:47:00,2016-10-13 14:57:00
155,-25.63,12.6026760102,2016-10-13 16:47:00,2016-10-13 14:57:00
156,-25.63,13.6734308798,2016-10-13 16:47:00,2016-10-13 14:57:00
157,-25.81,14.8873526309,2016-10-13 16:47:00,2016-10-13 14:57:00
158,-25.81,16.2887224475,2016-10-13 16:47:00,2016-10-13 14:57:00
159,-25.93,17.9461911457,2016-10-13 16:47:00,2016-10-13 14:57:00
160,-25.93,19.9747688849,2016-10-13 16:47:00,2016-10-13 14:57:00
161,-26.18,22.5900604526,2016-10-13 16:47:00,2016-10-13 14:57:00
162,-26.3,26.27610689,2016-10-13 16:47:00,2016-10-13 14:57:00
163,-26.61,32.5774448951,2016-10-13 16:47:00,2016-10-13 14:57:00
164,-26.64,,2016-10-13 16:47:00,2016-10-13 14:57:00
165,,,2016-10-13 11:42:00,2016-10-13 10:39:00
166,-18.0,0.391946231593,2016-10-13 11:42:00,2016-10-13 10:39:00
167,-20.05,0.793816199598,2016-10-13 11:42:00,2016-10-13 10:39:00
168,-20.54,1.20612550759,2016-10-13 11:42:00,2016-10-13 10:39:00
169,-20.65,1.62943101683,2016-10-13 11:42:00,2016-10-13 10:39:00
170,-20.87,2.06433536902,2016-10-13 11:42:00,2016-10-13 10:39:00
171,-20.94,2.51149214627,2016-10-13 11:42:00,2016-10-13 10:39:00
172,-21.15,2.97161177918,2016-10-13 11:42:00,2016-10-13 10:39:00
173,-21.38,3.93390736356,2016-10-13 11:42:00,2016-10-13 10:39:00
174,-21.58,4.958328334,2016-10-13 11:42:00,2016-10-13 10:39:00
175,-21.87,5.49644820187,2016-10-13 11:42:00,2016-10-13 10:39:00
176,-21.99,6.63071747143,2016-10-13 11:42:00,2016-10-13 10:39:00
177,-22.11,7.22977029655,2016-10-13 11:42:00,2016-10-13 10:39:00
178,-22.18,7.85232129899,2016-10-13 11:42:00,2016-10-13 10:39:00
179,-22.26,8.50028946597,2016-10-13 11:42:00,2016-10-13 10:39:00
180,-22.29,9.17583890119,2016-10-13 11:42:00,2016-10-13 10:39:00
181,-22.33,9.88142243406,2016-10-13 11:42:00,2016-10-13 10:39:00
182,-22.43,10.6198353806,2016-10-13 11:42:00,2016-10-13 10:39:00
183,-22.48,11.394282431,2016-10-13 11:42:00,2016-10-13 10:39:00
184,-22.55,12.208461707,2016-10-13 11:42:00,2016-10-13 10:39:00
185,-22.6,13.0666715684,2016-10-13 11:42:00,2016-10-13 10:39:00
186,-22.62,13.9739479785,2016-10-13 11:42:00,2016-10-13 10:39:00
187,-22.9,15.9606645334,2016-10-13 11:42:00,2016-10-13 10:39:00
188,-22.98,17.0557894776,2016-10-13 11:42:00,2016-10-13 10:39:00
189,-23.0,18.2321064959,2016-10-13 11:42:00,2016-10-13 10:39:00
190,-23.07,20.8837586334,2016-10-13 11:42:00,2016-10-13 10:39:00
191,-23.24,22.3966186303,2016-10-13 11:42:00,2016-10-13 10:39:00
192,-23.29,24.0690077677,2016-10-13 11:42:00,2016-10-13 10:39:00
193,-23.41,25.9385797623,2016-10-13 11:42:00,2016-10-13 10:39:00
194,-23.78,28.058125677,2016-10-13 11:42:00,2016-10-13 10:39:00
195,-24.34,30.5049618647,2016-10-13 11:42:00,2016-10-13 10:39:00
196,-24.42,33.3989548297,2016-10-13 11:42:00,2016-10-13 10:39:00
197,-24.61,36.9409159617,2016-10-13 11:42:00,2016-10-13 10:39:00
198,-25.14,41.5072980641,2016-10-13 11:42:00,2016-10-13 10:39:00
199,-25.4,47.943252161,2016-10-13 11:42:00,2016-10-13 10:39:00
200,-25.41,58.9455883604,2016-10-13 11:42:00,2016-10-13 10:39:00
201,,,2016-10-14 12:19:00,2016-10-14 10:39:00
202,-19.7,0.235304974102,2016-10-14 12:19:00,2016-10-14 10:39:00
203,-20.25,0.476280489893,2016-10-14 12:19:00,2016-10-14 10:39:00
204,-20.59,0.723206615796,2016-10-14 12:19:00,2016-10-14 10:39:00
205,-21.0,1.23613955967,2016-10-14 12:19:00,2016-10-14 10:39:00
206,-21.14,1.50282203049,2016-10-14 12:19:00,2016-10-14 10:39:00
207,-21.47,1.77681177237,2016-10-14 12:19:00,2016-10-14 10:39:00
208,-21.67,2.05852054204,2016-10-14 12:19:00,2016-10-14 10:39:00
209,-21.74,2.64692554227,2016-10-14 12:19:00,2016-10-14 10:39:00
210,-21.75,3.27212911208,2016-10-14 12:19:00,2016-10-14 10:39:00
211,-22.04,3.60002734031,2016-10-14 12:19:00,2016-10-14 10:39:00
212,-22.29,3.93904285707,2016-10-14 12:19:00,2016-10-14 10:39:00
213,-22.39,4.28995605518,2016-10-14 12:19:00,2016-10-14 10:39:00
214,-22.89,4.65363249689,2016-10-14 12:19:00,2016-10-14 10:39:00
215,-23.22,5.42324290825,2016-10-14 12:19:00,2016-10-14 10:39:00
216,-23.41,5.83146285346,2016-10-14 12:19:00,2016-10-14 10:39:00
217,-23.48,6.25705899764,2016-10-14 12:19:00,2016-10-14 10:39:00
218,-23.55,6.70157662335,2016-10-14 12:19:00,2016-10-14 10:39:00
219,-23.61,7.1667767797,2016-10-14 12:19:00,2016-10-14 10:39:00
220,-23.67,7.6546784214,2016-10-14 12:19:00,2016-10-14 10:39:00
221,-23.76,8.16761136527,2016-10-14 12:19:00,2016-10-14 10:39:00
222,-23.78,8.70828357797,2016-10-14 12:19:00,2016-10-14 10:39:00
223,-23.89,9.27986771637,2016-10-14 12:19:00,2016-10-14 10:39:00
224,-23.93,9.88611393454,2016-10-14 12:19:00,2016-10-14 10:39:00
225,-24.23,10.5314991459,2016-10-14 12:19:00,2016-10-14 10:39:00
226,-24.44,11.2214278608,2016-10-14 12:19:00,2016-10-14 10:39:00
227,-24.55,11.9625075823,2016-10-14 12:19:00,2016-10-14 10:39:00
228,-24.62,13.633048429,2016-10-14 12:19:00,2016-10-14 10:39:00
229,-24.67,14.586150227,2016-10-14 12:19:00,2016-10-14 10:39:00
230,-24.79,16.8175857401,2016-10-14 12:19:00,2016-10-14 10:39:00
231,-24.83,18.1528996664,2016-10-14 12:19:00,2016-10-14 10:39:00
232,-24.93,19.6944064647,2016-10-14 12:19:00,2016-10-14 10:39:00
233,-24.98,21.5176220326,2016-10-14 12:19:00,2016-10-14 10:39:00
234,-25.05,23.7490575457,2016-10-14 12:19:00,2016-10-14 10:39:00
235,-25.1,26.6258782703,2016-10-14 12:19:00,2016-10-14 10:39:00
236,-25.13,30.6805293513,2016-10-14 12:19:00,2016-10-14 10:39:00
237,-25.27,37.6120011569,2016-10-14 12:19:00,2016-10-14 10:39:00
238,,,2016-10-17 12:49:00,2016-10-17 11:46:00
239,-18.79,0.423305509241,2016-10-17 12:49:00,2016-10-17 11:46:00
240,-18.97,0.858209861433,2016-10-17 12:49:00,2016-10-17 11:46:00
241,-19.22,1.30536663868,2016-10-17 12:49:00,2016-10-17 11:46:00
242,-19.47,1.76548627159,2016-10-17 12:49:00,2016-10-17 11:46:00
243,-19.94,2.23934282952,2016-10-17 12:49:00,2016-10-17 11:46:00
244,-20.42,2.72778185598,2016-10-17 12:49:00,2016-10-17 11:46:00
245,-20.75,3.23172944827,2016-10-17 12:49:00,2016-10-17 11:46:00
246,-20.81,3.75220282642,2016-10-17 12:49:00,2016-10-17 11:46:00
247,-20.9,4.29032269428,2016-10-17 12:49:00,2016-10-17 11:46:00
248,-20.99,4.84732777065,2016-10-17 12:49:00,2016-10-17 11:46:00
249,-21.09,5.42459196384,2016-10-17 12:49:00,2016-10-17 11:46:00
250,-21.16,6.6461957914,2016-10-17 12:49:00,2016-10-17 11:46:00
251,-21.35,7.29416395839,2016-10-17 12:49:00,2016-10-17 11:46:00
252,-21.67,7.96971339361,2016-10-17 12:49:00,2016-10-17 11:46:00
253,-21.74,9.41370987306,2016-10-17 12:49:00,2016-10-17 11:46:00
254,-21.82,10.1881569234,2016-10-17 12:49:00,2016-10-17 11:46:00
255,-21.89,11.0023361994,2016-10-17 12:49:00,2016-10-17 11:46:00
256,-21.96,11.8605460608,2016-10-17 12:49:00,2016-10-17 11:46:00
257,-22.38,14.7545390258,2016-10-17 12:49:00,2016-10-17 11:46:00
258,-22.49,15.84966397,2016-10-17 12:49:00,2016-10-17 11:46:00
259,-22.76,17.0259809883,2016-10-17 12:49:00,2016-10-17 11:46:00
260,-22.87,21.1904931227,2016-10-17 12:49:00,2016-10-17 11:46:00
261,-22.99,22.8628822602,2016-10-17 12:49:00,2016-10-17 11:46:00
262,-23.06,26.8520001694,2016-10-17 12:49:00,2016-10-17 11:46:00
263,-23.12,32.1928293221,2016-10-17 12:49:00,2016-10-17 11:46:00
264,-23.19,35.7347904541,2016-10-17 12:49:00,2016-10-17 11:46:00
265,-23.27,40.3011725565,2016-10-17 12:49:00,2016-10-17 11:46:00
266,-23.41,46.7371266534,2016-10-17 12:49:00,2016-10-17 11:46:00
267,-23.43,57.7394628528,2016-10-17 12:49:00,2016-10-17 11:46:00
268,,,2016-10-17 17:11:00,2016-10-17 15:10:00
269,-17.77,0.160480048406,2016-10-17 17:11:00,2016-10-17 15:10:00
270,-18.04,0.324138125234,2016-10-17 17:11:00,2016-10-17 15:10:00
271,-18.08,0.491102648519,2016-10-17 17:11:00,2016-10-17 15:10:00
272,-18.1,0.661509980773,2016-10-17 17:11:00,2016-10-17 15:10:00
273,-18.81,0.83550509811,2016-10-17 17:11:00,2016-10-17 15:10:00
274,-19.06,1.01324233134,2016-10-17 17:11:00,2016-10-17 15:10:00
275,-19.14,1.19488618852,2016-10-17 17:11:00,2016-10-17 15:10:00
276,-19.15,1.38061226994,2016-10-17 17:11:00,2016-10-17 15:10:00
277,-19.3,1.57060828833,2016-10-17 17:11:00,2016-10-17 15:10:00
278,-19.33,1.76507520907,2016-10-17 17:11:00,2016-10-17 15:10:00
279,-19.81,2.16829970634,2016-10-17 17:11:00,2016-10-17 15:10:00
280,-19.84,2.37753778886,2016-10-17 17:11:00,2016-10-17 15:10:00
281,-19.88,2.59221123021,2016-10-17 17:11:00,2016-10-17 15:10:00
282,-19.92,2.81260996642,2016-10-17 17:11:00,2016-10-17 15:10:00
283,-20.06,3.27186493464,2016-10-17 17:11:00,2016-10-17 15:10:00
284,-20.17,3.51143135508,2016-10-17 17:11:00,2016-10-17 15:10:00
285,-20.26,3.7581500588,2016-10-17 17:11:00,2016-10-17 15:10:00
286,-20.3,4.01246128745,2016-10-17 17:11:00,2016-10-17 15:10:00
287,-20.45,4.5458374952,2016-10-17 17:11:00,2016-10-17 15:10:00
288,-20.48,4.82601560822,2016-10-17 17:11:00,2016-10-17 15:10:00
289,-20.58,5.11602651575,2016-10-17 17:11:00,2016-10-17 15:10:00
290,-20.59,5.41658555849,2016-10-17 17:11:00,2016-10-17 15:10:00
291,-20.61,5.72848909554,2016-10-17 17:11:00,2016-10-17 15:10:00
292,-20.65,6.05262722077,2016-10-17 17:11:00,2016-10-17 15:10:00
293,-20.68,6.38999907631,2016-10-17 17:11:00,2016-10-17 15:10:00
294,-20.69,6.74173142688,2016-10-17 17:11:00,2016-10-17 15:10:00
295,-20.85,7.10910136548,2016-10-17 17:11:00,2016-10-17 15:10:00
296,-20.87,7.89678880188,2016-10-17 17:11:00,2016-10-17 15:10:00
297,-21.05,8.32070032574,2016-10-17 17:11:00,2016-10-17 15:10:00
298,-21.33,8.76753686517,2016-10-17 17:11:00,2016-10-17 15:10:00
299,-21.39,9.23992045062,2016-10-17 17:11:00,2016-10-17 15:10:00
300,-21.58,9.74095038299,2016-10-17 17:11:00,2016-10-17 15:10:00
301,-21.67,10.8445156113,2016-10-17 17:11:00,2016-10-17 15:10:00
302,-21.82,11.4569781911,2016-10-17 17:11:00,2016-10-17 15:10:00
303,-21.86,12.1184881718,2016-10-17 17:11:00,2016-10-17 15:10:00
