,T,INPs_perL,F,delta_INP_pos,delta_INP_neg
23,-22.76,5.83645824903,0.583333333333,1.89806300145,1.63128522367
24,-22.79,6.53886168674,0.625,2.0012341662,1.73445638842
25,-22.92,6.91991777901,0.645833333333,2.05488845303,1.78811067525
26,-22.99,7.32408192445,0.666666666667,2.11020567355,1.84342789578
27,-23.02,7.75433873204,0.6875,2.16744161931,1.90066384153
28,-23.05,8.70834435631,0.729166666667,2.28893650168,2.0221587239
29,-23.13,9.24196240747,0.75,2.35399700081,2.08721922303
30,-23.25,9.82203825406,0.770833333333,2.42262524133,2.15584746355
31,-23.31,11.1598428905,0.8125,2.57355203371,2.30677425593
32,-23.48,11.9450631282,0.833333333333,2.65793930302,2.39116152525
33,-23.52,13.8629436112,0.875,2.85306728534,2.58628950756
34,-23.66,15.0784206565,0.895833333333,2.96979067818,2.7030129004
35,-23.74,16.5660443319,0.916666666667,3.10641848627,2.83964070849
36,-23.98,18.4839248149,0.9375,3.27380299749,3.00702521971
37,-24.07,21.1870255357,0.958333333333,3.49559875448,3.2288209767
38,-24.49,25.8080067394,0.979166666667,3.844184676,3.57740689822
0,-8.18,0.02693694309,0.02,0.0781415364671,0.0269202031338
1,-16.45,0.054429326027,0.04,0.100282517475,0.0490611841412
2,-17.72,0.0825005382908,0.06,0.117543115475,0.0663217821419
3,-18.37,0.111175478585,0.08,0.132330451591,0.0811091182574
4,-19.46,0.140480687544,0.1,0.145574062114,0.0943527287802
5,-20.17,0.170444495347,0.12,0.157749944029,0.106528610696
6,-20.2,0.201097186313,0.14,0.169140914437,0.117919581104
7,-20.46,0.23247118286,0.16,0.179931656475,0.128710323141
8,-20.5,0.264601251632,0.18,0.190251056063,0.139029722729
9,-20.68,0.297524735086,0.2,0.200193676325,0.148972342992
10,-20.91,0.331281812398,0.22,0.209831708571,0.158610375237
11,-20.94,0.365915794269,0.24,0.219222106774,0.16800077344
12,-21.12,0.401473457045,0.26,0.228411089584,0.177189756251
13,-21.23,0.438005422629,0.28,0.237437113336,0.186215780003
14,-21.53,0.475566591918,0.3,0.246332912609,0.195111579275
15,-21.69,0.554020591949,0.34,0.263844473729,0.212623140396
16,-21.85,0.595049470171,0.36,0.272508326686,0.221286993352
17,-22.11,0.681100831688,0.4,0.289757946545,0.238536613211
18,-22.36,0.773091327004,0.44,0.307031236482,0.255809903149
19,-22.37,0.821581519232,0.46,0.315722716941,0.264501383607
20,-22.4,0.871901956542,0.48,0.324475120057,0.273253786723
21,-22.44,0.924196240747,0.5,0.333307152551,0.282085819217
22,-22.54,0.978625566774,0.52,0.342238228209,0.291016894876
23,-22.62,1.03537171933,0.54,0.351288789849,0.300067456516
24,-22.88,1.09464073609,0.56,0.360480665394,0.30925933206
25,-22.92,1.15666742361,0.58,0.36983747463,0.318616141297
26,-23.1,1.22172097583,0.6,0.379385107076,0.328163773743
27,-23.23,1.29011203502,0.62,0.389152297248,0.337930963915
28,-23.32,1.36220166338,0.64,0.399171332334,0.347949999001
29,-23.53,1.43841288183,0.66,0.409478940144,0.35825760681
30,-23.76,1.51924571092,0.68,0.420117424465,0.368896091131
31,-23.86,1.60529707243,0.7,0.431136144155,0.379914810822
32,-24.02,1.69728756775,0.72,0.442593477512,0.391372144179
33,-24.09,1.79609819729,0.74,0.454559485205,0.403338151872
34,-24.13,1.90282180752,0.76,0.467119602198,0.415898268864
35,-24.16,2.01883697684,0.78,0.480379886681,0.429158553348
36,-24.18,2.28639790412,0.82,0.509578329181,0.458356995847
37,-24.22,2.44344195166,0.84,0.525923278314,0.474701944981
38,-24.31,2.6214838085,0.86,0.543830496436,0.492609163102
39,-24.67,2.82701804827,0.88,0.563762380944,0.51254104761
40,-24.94,3.07011345733,0.9,0.586423121537,0.535201788204
41,-24.97,3.36763819241,0.92,0.612969021335,0.561747688002
42,-25.52,3.75121428901,0.94,0.645517429821,0.594296096488
43,-25.79,4.29183443316,0.96,0.688684542056,0.637463208723
44,-26.3,5.2160306739,0.98,0.756599101356,0.705377768023
0,-18.15,0.168785386562,0.025,0.488803121652,0.168669788318
1,-18.92,0.341955295917,0.05,0.627979668694,0.30784633536
2,-18.95,0.519743609798,0.075,0.736932776407,0.416799443073
3,-19.11,0.702403437719,0.1,0.830682434244,0.510549100911
4,-19.17,0.890209284163,0.125,0.915031123451,0.594897790117
5,-19.23,1.28247928432,0.175,1.06622820659,0.746094873258
6,-19.35,1.69928166419,0.225,1.20313589105,0.883002557719
7,-19.39,1.91788048301,0.25,1.26819795127,0.94806461794
8,-19.41,2.37783295959,0.3,1.39394153185,1.07380819852
9,-19.47,2.62028392073,0.325,1.45531971208,1.13518637874
10,-19.55,2.87188610728,0.35,1.51608028937,1.19594695604
11,-19.59,3.1333575283,0.375,1.57646504993,1.2563317166
12,-19.65,3.40550415844,0.4,1.63669485136,1.31656151803
13,-19.69,3.68923492123,0.425,1.69697725143,1.3768439181
14,-19.76,3.98558000504,0.45,1.75751276108,1.43737942775
15,-19.83,4.2957134426,0.475,1.81850030322,1.49836696989
16,-19.91,4.96293649965,0.525,1.94264985112,1.62251651779
17,-19.95,5.70444073372,0.575,2.07118237582,1.75104904249
18,-19.99,6.99881416332,0.65,2.27692930155,1.95679596822
19,-20.01,7.49286731102,0.675,2.35037102383,2.03023769049
20,-20.07,8.02648536217,0.7,2.42702300235,2.10688966901
21,-20.1,9.24196240747,0.75,2.59262097523,2.27248764189
22,-20.14,9.94436584518,0.775,2.68336727734,2.363233944
23,-20.21,11.6197953671,0.825,2.88766041336,2.56752708003
24,-20.29,13.8629436112,0.875,3.13932508046,2.81919174712
25,-20.35,15.3505672866,0.9,3.29510359596,2.97497026263
26,-20.39,19.9715484904,0.95,3.73597449267,3.41584115934
27,-20.43,24.5925296941,0.975,4.12816155113,3.8080282178
0,-16.86,0.0492219612417,0.025,0.142546987028,0.0491882499567
1,-16.98,0.0997225569398,0.05,0.183134283972,0.0897755469011
2,-18.05,0.151569992748,0.075,0.214907684231,0.12154894716
3,-18.22,0.204838081612,0.1,0.242247385366,0.148888648294
4,-18.35,0.259606875777,0.125,0.266845533318,0.173486796247
5,-18.61,0.315963390423,0.15,0.289570056256,0.196211319185
6,-18.69,0.374002435352,0.175,0.31093831361,0.217579576539
7,-18.8,0.433827574684,0.2,0.331289960324,0.237931223253
8,-18.87,0.495552238955,0.225,0.350863954541,0.25750521747
9,-18.92,0.55930101962,0.25,0.369837648128,0.276478911056
10,-19.03,0.625211183077,0.275,0.388348584167,0.294989847095
11,-19.16,0.837512473934,0.35,0.442126221723,0.348767484652
12,-19.2,0.913763957628,0.375,0.459735899934,0.366377162863
13,-19.43,0.993128594304,0.4,0.477300388259,0.383941651187
14,-19.56,1.07587144837,0.425,0.494880215637,0.401521478566
15,-19.7,1.16229294804,0.45,0.51253385598,0.419175118909
16,-19.88,1.25273547008,0.475,0.530319320093,0.436960583022
17,-20.04,1.34759153231,0.5,0.548295643281,0.45493690621
18,-20.25,1.55242961392,0.55,0.585071174097,0.491712437026
19,-20.32,1.781419107,0.6,0.623413341913,0.530054604842
20,-20.37,1.90689255193,0.625,0.643378757473,0.550020020402
21,-20.45,2.04102598277,0.65,0.664008467285,0.570649730214
22,-20.47,2.18510400625,0.675,0.68542587599,0.592067138919
23,-20.57,2.34072012662,0.7,0.707779474205,0.614420737134
24,-20.61,2.50988448036,0.725,0.7312517099,0.637892972829
25,-20.73,2.69518306462,0.75,0.756071907387,0.662713170316
26,-20.78,3.38861751508,0.825,0.842112648737,0.748753911666
27,-20.9,3.68831165893,0.85,0.876542150449,0.783183413378
28,-20.95,5.03590319124,0.925,1.01636546408,0.92300672701
29,-21.0,5.82419370393,0.95,1.08950185454,0.996143117468
30,-21.15,7.17178523624,0.975,1.20387322628,1.11051448921
0,-15.44,0.0467911251997,0.0243902439024,0.135535277938,0.0467594489228
1,-15.69,0.0947669608403,0.0487804878049,0.174103106462,0.0853272774465
2,-15.72,0.143989060445,0.0731707317073,0.204280054465,0.11550422545
3,-15.99,0.194523902941,0.0975609756098,0.230232046763,0.141456217748
4,-16.06,0.246443432593,0.121951219512,0.253568315281,0.164792486266
5,-16.47,0.299825675007,0.146341463415,0.275114041588,0.186338212573
6,-16.62,0.354755442447,0.170731707317,0.295360855283,0.206585026268
7,-16.68,0.469635723309,0.219512195122,0.333151834248,0.244376005233
8,-16.83,0.529797737852,0.243902439024,0.351090485048,0.262314656033
9,-17.02,0.591932625336,0.268292682927,0.368577086243,0.279801257228
10,-17.22,0.656174177059,0.292682926829,0.385715928438,0.296940099423
11,-17.39,0.722670273117,0.317073170732,0.402593588947,0.313817759932
12,-17.45,0.791584932729,0.341463414634,0.419284189866,0.330508360851
13,-17.5,0.863100751692,0.365853658537,0.435853071973,0.347077242958
14,-17.91,0.937421818078,0.390243902439,0.452359479783,0.363583650768
