,INP,T
259,8.73628741298,-23.0
260,4.06798190422,-23.0
261,1.29792333682,-23.0
263,5.48654405972,-23.0
264,4.28671515423,-23.0
267,15.8060413802,-23.0
269,4.82300757607,-23.0
270,9.43517466391,-23.0
271,6.21668618235,-23.0
272,4.24806200774,-23.0
273,5.92233219083,-23.0
274,4.50479491327,-23.0
275,3.86751280238,-23.0
277,1.60086077995,-23.0
278,1.6382535487,-23.0
280,20.5220342696,-23.0
281,9.28602591276,-23.0
282,11.4076993714,-23.0
284,8.80720006798,-23.0
285,4.52604564236,-23.0
286,5.85887345234,-23.0
287,1.27697727027,-23.0
289,3.06072464751,-23.0
290,4.51667126533,-22.0
291,2.84577873819,-22.0
292,1.28688842957,-22.0
293,1.70926211875,-22.0
295,3.81278997826,-22.0
296,5.76012083878,-22.0
297,8.09816824945,-22.0
298,0.333783267552,-22.0
299,1.55411260111,-22.0
302,1.01484476261,-22.0
303,4.92923732717,-22.0
304,45.8742201448,-22.0
306,3.67085011063,-22.0
307,3.18653643289,-22.0
308,0.644694486431,-22.0
312,12.9090365378,-22.0
313,3.08769715509,-22.0
315,2.02789390353,-22.0
316,7.07554964104,-22.0
317,4.43196864445,-22.0
318,2.40260242062,-22.0
319,1.01961139893,-22.0
321,3.32726277389,-22.0
322,1.9671983154,-22.0
323,5.30034481072,-22.0
324,5.92040513018,-22.0
325,8.55207985568,-22.0
327,2.87860917581,-22.0
328,7.41905539039,-22.0
329,4.26375638697,-22.0
330,2.8263241573,-22.0
331,3.12533398686,-22.0
332,1.80761048448,-22.0
333,1.34002277889,-22.0
337,6.69174964295,-22.0
338,11.61618111,-22.0
339,3.51459938119,-22.0
340,4.64277533088,-22.0
341,7.31028692754,-22.0
342,8.09169676621,-22.0
343,2.5069751976,-22.0
344,2.00080984989,-22.0
345,0.813598499136,-22.0
347,1.68501093004,-22.0
348,1.20614479757,-21.0
349,0.934407527557,-21.0
350,0.783266989424,-21.0
351,0.841389484042,-21.0
353,1.51623474949,-21.0
354,2.11002836591,-21.0
355,2.03906101156,-21.0
357,0.798298275943,-21.0
358,4.1505707169,-21.0
360,0.691069024201,-21.0
361,3.12978239695,-21.0
362,19.6991879772,-21.0
364,1.76224325648,-21.0
365,1.52097551819,-21.0
366,0.377768348528,-21.0
368,5.82419370393,-21.0
370,3.72738109185,-21.0
371,1.40272137674,-21.0
373,1.14222048414,-21.0
374,3.53629189789,-21.0
375,1.14775924605,-21.0
376,0.758778945184,-21.0
377,0.689325704157,-21.0
378,19.8732668081,-21.0
379,1.73290571237,-21.0
380,1.15062977137,-21.0
381,2.52404803553,-21.0
382,1.58561118198,-21.0
383,6.13224368132,-21.0
385,1.55923465711,-21.0
386,6.44515939592,-21.0
387,2.85463571741,-21.0
388,2.2525755681,-21.0
389,2.18478615875,-21.0
390,0.866101513224,-21.0
391,0.712265411424,-21.0
395,3.09583130029,-21.0
396,8.17098786287,-21.0
397,2.01854424445,-21.0
398,2.84768519423,-21.0
399,4.99872434689,-21.0
400,7.92162683585,-21.0
401,0.97243722805,-21.0
402,0.930175001882,-21.0
403,0.58262697968,-21.0
405,0.636204975513,-21.0
406,0.611233990697,-20.0
407,0.391435726115,-20.0
408,0.568175150436,-20.0
409,0.470312666741,-20.0
411,0.835423447447,-20.0
412,1.00705006718,-20.0
413,0.685755322066,-20.0
415,0.512892247358,-20.0
416,1.76639659062,-20.0
419,2.80412882729,-20.0
420,11.0676789422,-20.0
421,11.3741195225,-20.0
423,0.698731424532,-20.0
424,0.163270062493,-20.0
425,7.24584073717,-20.0
426,1.32387751675,-20.0
427,3.91811915961,-20.0
428,1.60571116829,-20.0
429,0.835896750493,-20.0
432,1.93144905836,-20.0
433,0.430920075506,-20.0
434,0.502459231274,-20.0
435,0.448020284775,-20.0
436,15.824609506,-20.0
437,0.679138876423,-20.0
438,1.05190479584,-20.0
439,1.34299405374,-20.0
440,0.855189985536,-20.0
441,3.9443259278,-20.0
443,1.07223142066,-20.0
444,5.77534372705,-20.0
445,2.66249704849,-20.0
446,2.13815195018,-20.0
447,1.16045274732,-20.0
448,0.448060793448,-20.0
449,0.34954431258,-20.0
450,21.65246903,-20.0
453,2.59709311977,-20.0
454,6.99142668029,-20.0
455,1.30157059988,-20.0
456,1.59207378954,-20.0
457,3.60771216404,-20.0
458,7.09048972046,-20.0
459,0.6710730913,-20.0
460,0.339819029836,-20.0
461,0.403132608583,-20.0
463,0.183828728331,-20.0
464,0.493593144933,-19.0
465,0.32250257774,-19.0
466,0.501649646231,-19.0
467,0.395937507546,-19.0
469,0.317892334254,-19.0
470,0.484225055998,-19.0
473,0.451917505175,-19.0
474,1.01422116711,-19.0
477,1.78850142527,-19.0
478,8.91275678128,-19.0
479,3.38277514977,-19.0
482,0.128113351653,-19.0
483,0.576824806023,-19.0
484,0.607235683952,-19.0
485,2.09633005492,-19.0
486,1.31430635449,-19.0
487,0.778820834302,-19.0
490,1.3225823189,-19.0
492,0.431939580733,-19.0
493,0.382943086122,-19.0
494,13.771093613,-19.0
495,0.484754086303,-19.0
496,0.973565266689,-19.0
497,0.849780199296,-19.0
498,0.437180562896,-19.0
499,3.14742737542,-19.0
501,0.682313827765,-19.0
502,4.84992701532,-19.0
503,2.16781981057,-19.0
504,1.82185359269,-19.0
505,0.721717454945,-19.0
508,17.6613347888,-19.0
511,2.38912221138,-19.0
512,6.64720783917,-19.0
513,1.08468124336,-19.0
514,0.421932411949,-19.0
515,3.15458136664,-19.0
516,6.43350643108,-19.0
517,0.219205442243,-19.0
519,0.335095482316,-19.0
523,0.209064824233,-18.0
524,0.457684494032,-18.0
527,0.140543469736,-18.0
528,0.377983951505,-18.0
531,0.288789188457,-18.0
532,0.561755310199,-18.0
535,1.34267181867,-18.0
536,4.37431886365,-18.0
537,0.989567489012,-18.0
540,0.0948528202637,-18.0
543,1.03899549898,-18.0
544,1.15608843662,-18.0
545,0.72174491811,-18.0
546,6.81857170483,-18.0
550,0.363852638693,-18.0
551,0.335005575878,-18.0
552,12.112115064,-18.0
553,0.367395942013,-18.0
554,0.597135328927,-18.0
555,0.610512612713,-18.0
556,0.398901542836,-18.0
557,2.45419375007,-18.0
559,0.510782131318,-18.0
560,4.38653858932,-18.0
561,1.45241612984,-18.0
562,1.4861220134,-18.0
563,0.473127914301,-18.0
566,11.579384598,-18.0
569,2.28207220923,-18.0
570,5.8481468754,-18.0
571,0.788157536526,-18.0
573,2.94322480287,-18.0
574,4.4842186355,-18.0
577,0.318087276783,-18.0
581,0.171879789822,-17.0
582,0.334721074521,-17.0
584,7.08875026264,-17.0
585,0.121540254084,-17.0
586,0.308666706977,-17.0
589,0.269352106393,-17.0
590,0.444151495874,-17.0
593,0.689787566313,-17.0
594,3.28410114412,-17.0
595,0.454246621747,-17.0
601,0.585392110864,-17.0
602,0.628651928191,-17.0
603,0.634306275941,-17.0
604,1.03434464319,-17.0
608,0.306136717111,-17.0
610,7.77587228541,-17.0
612,0.535878050754,-17.0
613,0.410571556677,-17.0
614,0.360622522776,-17.0
615,1.88294822638,-17.0
616,16.0164724636,-17.0
617,0.431564580828,-17.0
618,2.04016593332,-17.0
619,0.933943500465,-17.0
620,1.08560508271,-17.0
621,0.398934256038,-17.0
624,4.03809323362,-17.0
627,2.18877435484,-17.0
628,5.51204934806,-17.0
631,2.68457067942,-17.0
632,1.2114603179,-17.0
635,0.254740619778,-17.0
639,0.139012841146,-16.0
640,0.200539525882,-16.0
642,5.13601237333,-16.0
644,0.174679897925,-16.0
647,0.23887093374,-16.0
648,0.295193335692,-16.0
649,2.60429912724,-16.0
652,2.2868724948,-16.0
659,0.201940978606,-16.0
662,0.568363569459,-16.0
666,0.229360111246,-16.0
668,0.61309797283,-16.0
670,0.474620772581,-16.0
671,0.333868849059,-16.0
673,0.810121804584,-16.0
674,1.59735954543,-16.0
676,0.859657490286,-16.0
678,0.226462921044,-16.0
679,0.378103262073,-16.0
682,1.92462754906,-16.0
685,2.10317865641,-16.0
686,4.81500664066,-16.0
689,2.59989605246,-16.0
690,0.326979088387,-16.0
693,0.177588859112,-16.0
698,0.163256850787,-15.0
700,3.29577463209,-15.0
705,0.198679297764,-15.0
707,1.19877681005,-15.0
720,0.350915431418,-15.0
731,0.682469890858,-15.0
732,1.173522114,-15.0
736,0.161840408522,-15.0
737,0.357272268107,-15.0
740,0.917475852507,-15.0
743,2.01807458494,-15.0
744,3.90670414151,-15.0
747,2.32029164216,-15.0
748,0.287377067544,-15.0
756,0.114188090601,-14.0
758,1.50315705583,-14.0
763,0.130243023097,-14.0
778,0.235109223665,-14.0
789,0.612696282907,-14.0
790,0.983825065575,-14.0
794,0.138012098306,-14.0
795,0.197566346256,-14.0
801,1.86513710516,-14.0
802,3.55274877648,-14.0
805,1.49720124105,-14.0
816,0.485028535554,-13.0
848,0.886645763325,-13.0
859,1.64684389846,-13.0
860,3.35461386874,-13.0
874,0.226705727229,-12.0
906,0.53256484125,-12.0
917,1.3868317523,-12.0
918,2.76743047725,-12.0
975,0.941734531308,-11.0
976,2.02066098851,-11.0
1033,0.715015121805,-10.0
1034,1.71729087854,-10.0
1091,0.508300891252,-9.0
1092,0.950113352909,-9.0
1149,0.273261693851,-8.0
1150,0.614816224267,-8.0
1207,0.219430621148,-7.0
