,T,inp_air
27,-22.75,6640.41454091
28,-22.8,6960.98125647
29,-22.85,7287.54767977
30,-22.91,7616.79350103
31,-22.91,7973.98188891
32,-23.01,8301.97705048
33,-23.01,8673.59825508
34,-23.05,9038.00423323
35,-23.12,9398.71346424
36,-23.15,9782.7215127
37,-23.31,10123.0291767
38,-23.59,10415.1222551
39,-23.67,10801.0353619
40,-23.71,11214.9796678
41,-23.76,11634.2444688
42,-23.76,12088.4557927
43,-23.94,12464.0801202
44,-24.21,12795.2669583
45,-24.21,13285.8193357
46,-24.26,13761.0538893
47,-24.28,14267.5964195
48,-24.3,14789.0765041
49,-24.3,15338.2105361
50,-24.36,15868.5256063
51,-24.46,16391.2507671
52,-24.46,16994.4072285
53,-24.48,17605.4892033
54,-24.7,18107.0632267
55,-24.7,18776.0323665
56,-24.78,19415.012162
57,-24.86,20079.6010433
58,-24.91,20794.1231152
59,-24.95,21547.4071175
60,-24.99,22335.0652639
61,-25.24,22993.0189843
62,-25.24,23890.4957084
63,-25.32,24766.8599504
64,-25.44,25656.9557311
65,-25.71,26456.0918533
66,-25.74,27541.6773681
67,-25.87,28596.8766477
68,-25.99,29738.5299205
69,-26.13,30945.8687611
70,-26.25,32278.2105291
71,-26.27,33854.8198113
72,-26.36,35498.1505892
73,-26.36,37436.2176577
74,-26.59,39305.2249792
75,-26.69,41624.1819821
76,-26.69,44459.7257748
77,-26.71,47785.400606
78,-26.79,51775.7431786
79,-26.86,56964.7851255
80,-27.16,63952.0544809
81,-27.16,76702.2362344
82,-29.28,
0,-6.97,209.02307918
1,-12.59,401.586665753
2,-12.69,617.642040146
3,-13.26,830.998125682
4,-13.79,1045.99560787
5,-14.39,1260.83508479
6,-14.56,1484.65544584
7,-14.59,1713.62451403
8,-14.66,1944.50021095
9,-14.95,2173.52464288
10,-15.27,2403.98260294
11,-15.41,2641.16587604
12,-15.5,2882.45027229
13,-15.55,3127.76444456
14,-15.55,3377.51006178
15,-15.59,3629.35664596
16,-15.68,3883.05821988
17,-15.7,4142.03379291
18,-15.89,4399.44221853
19,-15.94,4664.41947199
20,-15.95,4934.24369571
21,-16.17,5201.00567955
22,-16.17,5478.69572753
23,-16.24,5757.94534073
24,-16.28,6042.23976636
25,-16.35,6329.61581717
26,-16.47,6619.36889717
27,-16.52,6916.05109043
28,-16.6,7216.08731347
29,-16.64,7522.33551724
30,-16.66,7834.21294025
31,-16.71,8149.87008429
32,-16.75,8471.07080132
33,-16.75,8799.25207119
34,-16.81,9130.43815821
35,-16.88,9466.84050456
36,-16.94,9809.51310966
37,-16.94,10160.9296248
38,-16.96,10517.7882004
39,-16.98,10881.2048736
40,-17.03,11250.0580889
41,-17.1,11625.0029572
42,-17.13,12009.12234
43,-17.16,12400.8611412
44,-17.25,12797.583337
45,-17.27,13205.9735362
46,-17.42,13616.276548
47,-17.57,14035.1401009
48,-17.57,14471.5206291
49,-17.57,14917.7082778
50,-17.57,15374.1540071
51,-17.6,15839.6606472
52,-17.7,16312.3724222
53,-17.7,16802.6322638
54,-17.7,17305.3050566
55,-17.74,17818.6836579
56,-17.84,18342.1374862
57,-17.84,18886.1308241
58,-17.84,19445.4499172
59,-17.95,20014.0920561
60,-18.0,20603.5839152
61,-18.0,21214.540267
62,-18.04,21842.2735542
63,-18.12,22487.9409535
64,-18.14,23159.6757489
65,-18.16,23855.0229082
66,-18.18,24575.7008913
67,-18.18,25325.016791
68,-18.18,26103.7250199
69,-18.21,26912.1311294
70,-18.23,27755.7224165
71,-18.27,28635.4414076
72,-18.27,29559.0737455
73,-18.34,30522.6924129
74,-18.59,31521.8417489
75,-18.65,32590.434253
76,-18.65,33725.2868253
77,-18.68,34926.4762465
78,-18.68,36207.8572682
79,-18.72,37574.3243514
80,-18.72,39045.7021797
81,-18.77,40630.6513649
82,-18.82,42353.8823425
83,-18.86,44242.6926249
84,-19.02,46319.9445288
85,-19.12,48648.8863133
86,-19.17,51295.1641171
87,-19.19,54353.756716
88,-19.32,57960.3417359
89,-19.51,62370.1171549
90,-19.58,68073.9393715
91,-19.78,76100.3494076
92,-19.97,89838.08332
93,-20.38,
0,-10.33,452.40900591
1,-10.73,925.356110271
2,-14.9,1365.14499622
3,-15.02,1860.6703094
4,-15.47,2360.45618293
5,-15.69,2878.44255309
6,-15.79,3413.54843776
7,-15.96,3961.10411868
8,-16.18,4522.20613519
9,-16.18,5107.0224125
10,-16.26,5706.52017849
11,-16.26,6327.33066496
12,-16.28,6967.14545909
13,-16.52,7619.77380823
14,-16.55,8302.56153073
15,-16.55,9010.52009607
16,-16.63,9741.05200104
17,-16.73,10498.351938
18,-16.96,11279.6034522
19,-17.02,12100.4239489
20,-17.2,12950.4267211
21,-17.25,13844.7321569
22,-17.27,14782.2499869
23,-17.27,15766.5792972
24,-17.51,16788.6783655
25,-17.67,17870.348921
26,-17.69,19022.3277356
27,-17.85,20235.6784297
28,-17.95,21531.3495343
29,-17.97,22921.9600015
30,-18.11,24407.6771079
31,-18.17,26018.3452995
32,-18.23,27769.5130689
33,-18.23,29692.3720129
34,-18.23,31817.993959
35,-18.24,34193.5172644
36,-18.32,36881.6259615
37,-18.7,39961.3373138
38,-18.72,43637.9192852
39,-19.07,48107.7732691
40,-19.07,53911.6868404
41,-19.25,62073.7332347
42,-19.29,76053.6163465
43,-19.59,
0,-12.53,411.457388032
1,-13.12,854.767014301
2,-14.1,1297.30004712
3,-14.12,1764.51388249
4,-14.47,2233.52026023
5,-14.83,2710.50553603
6,-14.94,3202.97910552
7,-15.0,3706.74009813
8,-15.5,4207.38699186
9,-15.5,4734.07357418
10,-15.55,5270.41315597
11,-15.82,5810.6680545
12,-16.02,6365.1362256
13,-16.02,6940.25784458
14,-16.26,7518.86983035
15,-16.41,8114.9763076
16,-16.43,8731.77785055
17,-16.45,9364.2129889
18,-16.45,10014.033644
19,-16.49,10679.2993512
20,-16.51,11363.7779128
21,-16.55,12066.5930697
22,-16.62,12788.3253501
23,-16.73,13529.5629574
24,-16.73,14299.3679606
25,-17.01,15078.3551694
26,-17.01,15898.6479569
27,-17.09,16742.1009584
28,-17.09,17619.9695794
29,-17.09,18529.7676095
30,-17.13,19471.5288903
31,-17.23,20446.6067074
32,-17.33,21461.518767
33,-17.33,22526.2193887
34,-17.5,23626.9740562
35,-17.5,24790.750802
36,-17.58,26005.7654342
37,-17.59,27288.2482246
38,-17.73,28630.6801271
39,-17.81,30054.5587872
40,-17.82,31570.4192702
41,-17.92,33177.1367996
42,-18.24,34876.0883852
43,-18.34,36720.9182801
44,-18.47,38710.9804084
45,-18.51,40883.8013348
46,-18.68,43250.8582788
47,-18.7,45884.5248045
48,-19.17,48776.9572817
49,-19.2,52113.6943925
50,-19.32,55954.5127366
51,-19.46,60496.6137794
52,-19.48,66076.1356818
53,-19.77,73230.1678615
54,-19.95,83344.633674
55,-20.07,100664.521718
56,-20.17,
0,-14.24,64.3169069587
1,-14.58,152.133964348
2,-14.67,243.144097946
3,-14.82,334.185127879
4,-16.6,398.494042198
5,-16.63,492.122689729
6,-16.74,584.693695614
7,-16.92,676.244404692
8,-17.04,769.908223193
9,-17.11,865.623989127
10,-17.27,959.63313201
11,-17.49,1052.42398186
12,-17.64,1147.85789671
13,-17.69,1247.28801607
14,-17.78,1346.24849253
15,-18.16,1435.26701949
16,-18.71,1515.31419391
17,-18.71,1620.14079782
18,-18.92,1715.53413423
19,-19.07,1814.40714597
20,-19.19,1915.57282796
