,Date,start,end,INP,T,,,,,,,,,,,,,,
165,1.61013E+13,1039,1442,5.300344811,-22,,,,,,,,,,,,,,
166,1.61013E+13,1041,1442,5.92040513,-22,,,,,,,,,,,,,,
167,1.61017E+13,1146,1449,2.878609176,-22,,,,,,,,,,,,,,
168,1.61018E+13,1415,1610,4.263756387,-22,,,,,,,,,,,,,,
169,1.61018E+13,1045,1352,2.826324157,-22,,,,,,,,,,,,,,
170,1.61018E+13,1400,1615,3.125333987,-22,,,,,,,,,,,,,,
171,1.6102E+13,1145,1335,0.569757449,-22,,,,,,,,,,,,,,
172,1.6102E+13,1345,1600,0.632433982,-22,,,,,,,,,,,,,,
173,1.61021E+13,1442,1636,11.61618111,-22,,,,,,,,,,,,,,
174,1.61021E+13,1142,1636,6.691749643,-22,,,,,,,,,,,,,,
175,1.61024E+13,1205,1537,4.642775331,-22,,,,,,,,,,,,,,
176,1.61027E+13,1149,1558,7.310286928,-22,,,,,,,,,,,,,,
177,1.61031E+13,1017,1730,2.00080985,-22,,,,,,,,,,,,,,
178,1.61101E+13,1110,1410,0.29477277,-22,,,,,,,,,,,,,,
179,1.61102E+13,1029,1529,1.68501093,-22,,,,,,,,,,,,,,
180,1.60926E+13,1200,1500,1.206144798,-21,,,,,,,,,,,,,,
181,1.60926E+13,1211,1512,0.934407528,-21,,,,,,,,,,,,,,
182,1.60926E+13,1152,1452,1.839663013,-21,,,,,,,,,,,,,,
183,1.60927E+13,1057,1426,0.783266989,-21,,,,,,,,,,,,,,
184,1.60928E+13,1235,1535,0.841389484,-21,,,,,,,,,,,,,,
185,1.60928E+13,1334,1540,,-21,,,,,,,,,,,,,,
186,1.6093E+13,1421,1621,2.15,-21,,,,,,,,,,,,,,
187,1.6093E+13,1120,1355,1.516234749,-21,,,,,,,,,,,,,,
188,1.61003E+13,1335,1636,4.150570717,-21,,,,,,,,,,,,,,
189,1.61003E+13,1026,1327,0.211007944,-21,,,,,,,,,,,,,,
190,1.61003E+13,1347,1623,,-21,,,,,,,,,,,,,,
191,1.61003E+13,1032,1335,0.798298276,-21,,,,,,,,,,,,,,
192,1.61004E+13,1033,1320,3.129782397,-21,,,,,,,,,,,,,,
193,1.61005E+13,1116,1559,,-21,,,,,,,,,,,,,,
194,1.61005E+13,1339,1439,19.69918798,-21,,,,,,,,,,,,,,
195,1.61006E+13,1424,1654,1.520975518,-21,,,,,,,,,,,,,,
196,1.61006E+13,1140,1410,0.377768349,-21,,,,,,,,,,,,,,
197,1.61006E+13,1424,1654,,-21,,,,,,,,,,,,,,
198,1.61006E+13,1139,1413,5.824193704,-21,,,,,,,,,,,,,,
199,1.61006E+13,1420,1658,,-21,,,,,,,,,,,,,,
200,1.61007E+13,1302,1502,1.402721377,-21,,,,,,,,,,,,,,
201,1.61007E+13,1121,1306,,-21,,,,,,,,,,,,,,
202,1.61007E+13,1041,1241,3.727381092,-21,,,,,,,,,,,,,,
203,1.6101E+13,1239,1339,3.536291898,-21,,,,,,,,,,,,,,
204,1.6101E+13,1350,1636,1.147759246,-21,,,,,,,,,,,,,,
205,1.6101E+13,1129,1636,0.758778945,-21,,,,,,,,,,,,,,
206,1.61011E+13,1040,1403,1.732905712,-21,,,,,,,,,,,,,,
207,1.61011E+13,1040,1403,0.689325704,-21,,,,,,,,,,,,,,
208,1.61011E+13,1410,1624,19.87326681,-21,,,,,,,,,,,,,,
209,1.61011E+13,1410,1624,1.150629771,-21,,,,,,,,,,,,,,
210,1.61013E+13,1039,1442,2.524048036,-21,,,,,,,,,,,,,,
211,1.61013E+13,1041,1442,1.585611182,-21,,,,,,,,,,,,,,
212,1.61017E+13,1146,1449,1.559234657,-21,,,,,,,,,,,,,,
213,1.61018E+13,1415,1610,2.854635717,-21,,,,,,,,,,,,,,
214,1.61018E+13,1045,1352,2.252575568,-21,,,,,,,,,,,,,,
215,1.61018E+13,1400,1615,2.184786159,-21,,,,,,,,,,,,,,
