,57000,57315,b920_04,47.79496723014862,8.201471959271691,124.05986813163885,11.028300555857081,34.42545152574989,8.187129422880199,3.9520197082680344,0.815729627072251,44.125773277369994,8.20147195927.1,3.946147036932409,0.815729627072.1,30.75629053069014,8.18712942288.1,3.94614703693.1,0.815729627072.2,Unnamed: 19,Unnamed: 20,Unnamed: 21,0.88336,297.81,38.7241439819,6.6449460983,100.5150222778,8.9352817535,27.8919773102,6.6333255768,3.2019810677,0.6609154344,35.7513122559,6.6449460983.1,3.1972229481,0.6609154344.1,24.919172287,6.6333255768.1,3.1972229481.1,0.6609154344.2
10,59125,59365,b924_08,1873.57446119,220.450865317,913.705260616,140.024917559,1741.85602799,219.374886564,212.720833445,16.6745551556,1715.33059778,220.450865317,212.535968073,16.6745551556,1583.59306823,219.374886564,212.535968073,16.6745551556,,,,0.90735,302.905,1532.99438477,180.377105713,747.611083984,114.571060181,1425.21984863,179.49671936,174.052246094,13.6434392929,1403.51623535,180.377105713,173.900985718,13.6434392929,1295.72607422,179.49671936,173.900985718,13.6434392929
11,59555,60195,b924_10,238.250457179,23.0681585264,318.966431659,49.3309476474,201.684709145,22.8183596218,23.284818443,4.38580565087,221.195029677,23.0681585264,23.262531579,4.38580565087,184.629269962,22.8183596218,23.262531579,4.38580565087,,,UNSUCCESSFUL DROP FREEZE ASSAY,0.68976,288.475,155.605438232,15.0662078857,208.322418213,32.2188835144,131.723724365,14.9030599594,15.2077121735,2.8644444942,144.466247559,15.0662078857,15.1931562424,2.8644444942,120.584526062,14.9030599594,15.1931562424,2.8644444942
12,54190,55690,b925_02,175.302643716,16.4937914733,320.852434175,29.0825183699,141.42702627,16.4293337638,13.5593375069,2.23057118724,165.562048269,16.4937914733,13.5461237771,2.23057118724,131.686189398,16.4293337638,13.5461237771,2.23057118724,,,,0.69598,286.465,116.336196899,10.9457845688,212.927490234,19.3000488281,93.8553009033,10.903008461,8.9983911514,1.4802752733,109.872039795,10.9457845688,8.9896221161,1.4802752733,87.3909835815,10.903008461,8.9896221161,1.4802752733
13,55790,59040,b926_02,133.453697836,13.7124637868,174.196641219,23.1318474857,115.725109358,13.6856566299,11.0160905371,1.75042970052,127.440145621,13.7124637868,11.0100794653,1.75042970052,109.71199669,13.6856566299,11.0100794653,1.75042970052,,,,0.77242,289.415,97.2891235352,9.9965276718,126.991149902,16.8633556366,84.3647994995,9.9769849777,8.0308437347,1.2760813236,92.9051818848,9.9965276718,8.0264616013,1.2760813236,79.9811782837,9.9769849777,8.0264616013,1.2760813236
14,58890,60140,b927_02,627.900371868,62.798519444,374.261952781,40.0840404627,577.793237463,62.167738356,57.5536175436,7.87171226685,593.294441553,62.798519444,57.5066846833,7.87171226685,543.079952065,62.167738356,57.5066846833,7.87171226685,,,,0.74962,288.93,444.979980469,44.5040092468,265.231689453,28.4067287445,409.470092773,44.0569877625,40.7870559692,5.5785193443,420.455474853,44.5040092468,40.7537956238,5.5785193443,384.869506836,44.0569877625,40.7537956238,5.5785193443
15,54798,56280,b928_02,203.558621555,22.7643470227,341.910763745,24.2853265627,166.31186363,22.6835898749,15.4706014937,0.547138643588,188.079447694,22.7643470227,15.4524448675,0.547138643588,150.832856851,22.6835898749,15.4524448675,0.547138643588,,,,1.00852,301.645,185.899871826,20.7895355225,312.249938965,22.1785697937,151.884277344,20.7157840729,14.1285238266,0.4996742606,171.763519287,20.7895355225,14.1119422913,0.4996742606,137.748077393,20.7157840729,14.1119422913,0.4996742606
16,57710,59022,b928_04,211.632840459,19.3132838668,294.38118725,9.95269225423,170.420989012,19.2066781382,19.0449409512,3.14389774488,199.067512665,19.3132838668,19.0272328245,3.14389774488,157.856050132,19.2066781382,19.0272328245,3.14389774488,,,,0.72399,288.025,145.307037353,13.2604942322,202.122024536,6.8335151672,117.010993958,13.1872987747,13.0762500763,2.1585991383,136.6796875,13.2604942322,13.0640916824,2.1585991383,108.383911133,13.1872987747,13.0640916824,2.1585991383
17,60910,62288,b928_06,687.995677177,128.388672623,390.981397451,19.0316824993,636.183098595,128.388672623,71.8629040945,12.7314945393,656.003415668,128.388672623,71.8185593838,12.7314945393,604.191871229,128.388672623,71.8185593838,12.7314945393,,,,0.67432,283.71,446.6612854,83.3526306152,253.833358765,12.3557691574,413.023468018,83.3526306152,46.6549110413,8.2655544281,425.891235352,83.3526306152,46.626121521,8.2655544281,392.254089356,83.3526306152,46.626121521,8.2655544281
18,62618,63894,b928_09,163.411026756,18.78920846,201.917518709,28.3223582816,140.403445833,18.7106198209,13.52227045,2.09493597436,159.736283108,18.78920846,13.5094024534,2.09493597436,136.729278794,18.7106198209,13.5094024534,2.09493597436,,,,0.60661,278.285,97.2976455688,11.1874074936,120.22505188,16.8636035919,83.5985488892,11.1406145096,8.0513849258,1.2473597527,95.1096420288,11.1874074936,8.0437231064,1.2473597527,81.4108886719,11.1406145096,8.0437231064,1.2473597527
19,58015,59813,b929_01,510.746544065,52.7689125554,331.287916199,55.3070520897,468.358768758,51.9301027422,53.152746389,8.09222655277,489.941266573,52.7689125554,53.1193227916,8.09222655277,447.554732148,51.9301027422,53.1193227916,8.09222655277,,,,0.75171,287.895,364.26953125,37.6353149414,236.27784729,39.4455413818,334.038146973,37.0370674133,37.9090690613,5.7714567184,349.430999756,37.6353149414,37.8852310181,5.7714567184,319.200500488,37.0370674133,37.8852310181,5.7714567184
