# Days since 1st of September,T=-15,T=-20,T=-25
4.800000000000000000e+01,1.015502226586584733e+01,1.345523060815083909e+02,1.753476878953477353e+03
4.900000000000000000e+01,8.362623614511379699e+00,1.107571724125476180e+02,1.445170371634739013e+03
5.000000000000000000e+01,3.164435068916852600e+01,4.192835736957813424e+02,5.478439555636867226e+03
5.100000000000000000e+01,2.646691755343587829e+03,3.501613438128626876e+04,4.497574256313295336e+05
5.200000000000000000e+01,6.108878041304442377e+02,8.091042952909867381e+03,1.052327799685168720e+05
5.300000000000000000e+01,1.141609595337874481e+02,1.512047720167921170e+03,1.973109596387287456e+04
5.400000000000000000e+01,2.322941661954325809e+01,3.076958648391432121e+02,4.003939793077233844e+03
5.500000000000000000e+01,2.870543032227100610e+00,3.803061305307654294e+01,4.969467917679610309e+02
5.600000000000000000e+01,1.120369580147921695e+01,1.484189198842347537e+02,1.933928675215935300e+03
5.700000000000000000e+01,3.904580175279742438e+00,5.171703131110548668e+01,6.754792085363452543e+02
5.800000000000000000e+01,2.313839650600407438e+01,3.065021644379270356e+02,3.993895686248669790e+03
5.900000000000000000e+01,3.496059202982327179e+02,4.625986781845821497e+03,5.943607111322890705e+04
6.000000000000000000e+01,2.001179120329539671e+02,2.649003556161805591e+03,3.426809886736065528e+04
6.100000000000000000e+01,1.088246815619548215e+03,1.440251353945264782e+04,1.852757493405834830e+05
