# Days ,T=-15,T=-20,T=-25
3.500000000000000000e+01,6.869342764965739867e-02,1.212778970606107443e+01,5.437602772539444231e+02
3.600000000000000000e+01,1.636746136411432462e-01,2.889640640919443015e+01,1.258852244257788243e+03
3.700000000000000000e+01,8.086395079843500255e-01,1.413080187083040187e+02,4.538367990757038569e+03
3.800000000000000000e+01,1.036248172932407119e+00,1.800357174668514801e+02,5.150172223679809576e+03
3.900000000000000000e+01,2.921295084014930321e+00,5.040474665332043855e+02,1.712747785096533698e+04
4.000000000000000000e+01,4.342967026425441190e+00,7.433092315719015915e+02,2.136784920299224905e+04
4.100000000000000000e+01,8.082659641609794221e+00,1.371689708124590197e+03,3.390197300781938247e+04
4.200000000000000000e+01,1.218046212341957357e+01,2.069357704217210994e+03,5.156219642079941696e+04
4.300000000000000000e+01,1.488902700709342497e+00,2.586612346037427983e+02,7.470452957321742360e+03
4.400000000000000000e+01,5.746702499956782617e+00,9.972622779493293592e+02,3.950114625416809577e+04
4.500000000000000000e+01,1.863432026126765395e+00,3.248219889444783348e+02,9.982905444955500570e+03
4.600000000000000000e+01,2.879126618033833740e+00,5.012567317097160071e+02,1.519673604359694946e+04
4.700000000000000000e+01,5.653252655908103996e+00,9.913239610198282890e+02,3.467394585100014228e+04
4.800000000000000000e+01,7.594991657770737703e-01,1.333211992749163528e+02,4.873951604359260273e+03
4.900000000000000000e+01,3.181090852257407731e-01,5.591002912084275067e+01,2.106336861936274545e+03
5.000000000000000000e+01,1.208161861082222543e+01,2.100255810430583551e+03,6.186473414905952814e+04
5.100000000000000000e+01,4.442371256956555925e+01,7.718576392101567762e+03,2.315915569207837689e+05
5.200000000000000000e+01,1.190892037594814212e+00,2.115095136743784678e+02,1.286374685264266373e+04
5.300000000000000000e+01,9.377772757728886077e-01,1.664071137351639322e+02,9.215590269100428486e+03
5.400000000000000000e+01,1.941950790609392186e-01,3.435177339328690493e+01,1.695700757027198051e+03
5.500000000000000000e+01,6.190977187865347175e-02,1.099897849818875883e+01,6.810717311246437475e+02
5.600000000000000000e+01,1.384506992601916009e-01,2.451005249791949936e+01,1.185849020717447502e+03
5.700000000000000000e+01,4.047492560590656985e-02,7.214697780050850717e+00,5.383135249837567926e+02
5.800000000000000000e+01,4.416343147150114112e-01,7.783306719759259806e+01,3.219729725702729411e+03
5.900000000000000000e+01,3.768719308316528682e+00,6.510746557054669665e+02,2.290853278140684051e+04
6.000000000000000000e+01,1.044219928487934013e+01,1.788709125610382443e+03,5.219495176588880713e+04
6.100000000000000000e+01,5.906060454432886786e+01,9.969914992545789573e+03,2.206849533854355686e+05
