Temp,INP
-21.1,2.002923337
-21.2,2.079586994
-21.3,2.23735207
-21.4,2.4014294
-21.6,2.937153223
-21.7,3.033660882
-21.8,3.337606301
-21.9,3.553518587
-22,3.781432011
-22.1,3.900321097
-22.2,4.148966088
-22.3,4.413663493
-22.4,4.845787665
-22.5,5.000575328
-22.6,5.503414808
-22.7,5.87652521
-22.8,6.287006133
-22.9,6.743185425
-23,7.843439656
-23.1,8.171725719
-23.2,8.528592985
-23.3,8.919496848
-23.4,9.834694745
-23.5,10.38235857
-23.7,11.76236118
-24,12.67755907
-24.4,13.85745438
-24.5,18.36328773
-14.1,0.053584912
-14.5,0.107898892
-15.3,0.218795355
-15.5,0.332860714
-15.7,0.391139355
-15.8,0.450281414
-17.4,0.51031286
-17.6,0.571260853
-17.9,0.633153813
-18.3,0.759895124
-18.7,0.824807383
-18.8,0.957886905
-19.1,1.026128156
-20.4,1.09555627
-20.6,1.166213265
-21,1.238143426
-21.1,1.311393481
-21.4,1.386012774
-21.7,1.462053473
-21.9,1.539570782
-22.1,1.618623186
-22.3,1.78158524
-22.5,1.865630786
-22.6,1.9514839
-22.8,2.039224047
-22.9,2.128936046
-23,2.22071057
-23.1,2.314644692
-23.2,2.410842502
-23.3,2.6104849
-23.4,3.042475258
-23.5,3.158193968
-23.6,3.400208426
-23.7,3.526949737
-23.8,3.933267878
-23.9,4.385677799
-24,4.895990659
-24.2,5.69707128
-24.3,6.424901846
-24.4,6.996162699
-24.5,7.315694466
-24.6,7.663045272
-24.7,8.043525032
-24.9,8.464125893
-25,8.934317652
-25.1,9.467377104
-25.2,10.08274908
-25.3,10.81057965
-25.4,11.70137227
-25.5,12.84980369
-25.6,14.46842688
-25.9,17.23548149
-13.2,0.071542497
-14.8,0.144020217
-15.6,0.217457935
-16.1,0.367317507
-16.4,0.443794121
-16.5,0.521340373
-16.7,0.599986608
-16.9,0.679764483
-17,0.926225797
-17.4,1.096838231
-17.9,1.18415447
-18.4,1.272867829
-18.8,1.363023744
-18.9,1.547856414
-19,1.739063866
-19.1,1.937101583
-19.5,2.03883777
-19.6,2.248087758
-19.7,2.355750687
-20.7,2.465545693
-20.8,2.57755893
-20.9,2.691881879
-21.1,2.808611804
-21.3,2.927852241
-21.4,3.049713556
-21.5,3.174313555
-21.7,3.301778171
-21.9,3.702757666
-22,3.843131407
-22.1,3.987151624
-22.2,4.13501283
-22.3,4.286925528
-22.4,4.603838446
-22.6,4.769357204
-23,4.939969638
-23.1,5.485767336
-23.2,5.680329987
-23.3,5.881969177
-23.4,6.535013286
-23.5,6.770983648
-23.6,7.275373636
-23.7,7.545889073
-23.8,8.446969853
-24,8.783101045
-24.1,9.140932721
-24.2,9.523461394
-24.4,11.38902048
-24.6,11.97318834
-24.8,12.62623245
-25,13.3665928
-25.3,15.23215189
-25.4,18.06440751
-25.5,24.15562667
