,T,INPs_perL,F,K,INPs_perdrop,INPerr_pos,INPerr_neg,delta_INP_pos,delta_INP_neg,run_date,sample_date
18,-17.38,2.41676993421,0.394366197183,501.479761348,0.501479761348,3.27580375325,1.68811453024,0.859033819039,0.72865540397,2016-10-28,2016-10-27
19,-17.42,2.53016992173,0.408450704225,525.010258758,0.525010258758,3.40761468541,1.78310357311,0.877444763685,0.747066348617,2016-10-28,2016-10-27
20,-17.46,2.64630270042,0.422535211268,549.107810337,0.549107810337,3.54217927619,1.88080453972,0.89587657577,0.765498160701,2016-10-28,2016-10-27
21,-17.5,2.76530324302,0.43661971831,573.800422927,0.573800422927,3.67965186317,1.98133303795,0.914348620142,0.783970205073,2016-10-28,2016-10-27
22,-17.53,2.88731677548,0.450704225352,599.118230912,0.599118230912,3.82019692452,2.0848150415,0.932880149043,0.802501733974,2016-10-28,2016-10-27
23,-17.57,3.14102151517,0.478873239437,651.761964397,0.651761964397,4.11122056446,2.30120088094,0.970199049298,0.839820634229,2016-10-28,2016-10-27
24,-17.66,3.27306476427,0.492957746479,679.160938585,0.679160938585,4.26209053352,2.41441741008,0.989025769251,0.858647354182,2016-10-28,2016-10-27
25,-17.7,3.54852699964,0.521126760563,736.319352425,0.736319352425,4.57564273871,2.65178967563,1.02711573908,0.896737324007,2016-10-28,2016-10-27
26,-17.82,3.69239670157,0.535211267606,766.172315575,0.766172315575,4.73881863354,2.77635318466,1.04642193197,0.916043516905,2016-10-28,2016-10-27
27,-17.86,3.99369962678,0.56338028169,828.692672556,0.828692672556,5.07937129629,3.03840637234,1.08567166951,0.955293254441,2016-10-28,2016-10-27
28,-17.93,4.1517228693,0.577464788732,861.482495379,0.861482495379,5.25738797516,3.1764361785,1.10566510587,0.975286690796,2016-10-28,2016-10-27
29,-18.0,4.4842186355,0.605633802817,930.475366866,0.930475366866,5.63074527281,3.46807041326,1.14652663731,1.01614822224,2016-10-28,2016-10-27
30,-18.13,4.65948439054,0.619718309859,966.843011037,0.966843011037,5.82694052571,3.62240667044,1.16745613517,1.0370777201,2016-10-28,2016-10-27
31,-18.2,4.84136548925,0.633802816901,1004.58333902,1.00458333902,6.03012895713,3.78298043644,1.18876346788,1.05838505281,2016-10-28,2016-10-27
32,-18.26,5.03038097433,0.647887323944,1043.80405217,1.04380405217,6.24086760928,3.95027275444,1.21048663495,1.08010821988,2016-10-28,2016-10-27
33,-18.43,5.22711347804,0.661971830986,1084.62604669,1.08462604669,6.45978096859,4.12482440256,1.23266749055,1.10228907548,2016-10-28,2016-10-27
34,-18.6,5.43222005355,0.676056338028,1127.18566111,1.12718566111,6.68757247753,4.30724604464,1.25535242398,1.12497400891,2016-10-28,2016-10-27
35,-18.66,5.87063826177,0.704225352113,1218.15743932,1.21815743932,7.17308614235,4.69856879626,1.30244788058,1.17206946551,2016-10-28,2016-10-27
36,-18.8,6.10577158307,0.718309859155,1266.94760349,1.26694760349,7.43275381783,4.90916776338,1.32698223476,1.19660381969,2016-10-28,2016-10-27
37,-18.83,6.35296818253,0.732394366197,1318.24089787,1.31824089787,7.70523930092,5.13107547921,1.35227111839,1.22189270332,2016-10-28,2016-10-27
38,-19.38,6.61353310431,0.746478873239,1372.30811915,1.37230811915,7.9919336156,5.3655110081,1.37840051128,1.24802209621,2016-10-28,2016-10-27
39,-19.4,6.88899533969,0.760563380282,1429.46653299,1.42946653299,8.29446533408,5.61390376037,1.40546999439,1.27509157932,2016-10-28,2016-10-27
40,-20.27,7.18116219181,0.774647887324,1490.0911548,1.4900911548,8.61475816996,5.87794462874,1.43359597814,1.30321756307,2016-10-28,2016-10-27
41,-20.4,7.49219120935,0.788732394366,1554.62967594,1.55462967594,8.9551071536,6.15965368016,1.46291594425,1.33253752918,2016-10-28,2016-10-27
42,-20.43,7.82468697555,0.802816901408,1623.62254743,1.62362254743,9.31828108806,6.4614712781,1.49359411251,1.36321569744,2016-10-28,2016-10-27
43,-22.53,8.1818338293,0.816901408451,1697.73051958,1.69773051958,9.70766298358,6.78638309009,1.52582915428,1.39545073921,2016-10-28,2016-10-27
44,-22.96,8.56758181809,0.830985915493,1777.77322725,1.77777322725,10.1274467352,7.13809531604,1.55986491712,1.42948650205,2016-10-28,2016-10-27
45,-23.03,8.98691375539,0.845070422535,1864.78460424,1.86478460424,10.5829194586,7.5212864672,1.59600570326,1.46562728819,2016-10-28,2016-10-27
46,-23.49,9.44623992312,0.859154929577,1960.09478405,1.96009478405,11.0808785816,7.94197967971,1.63463865848,1.50426024341,2016-10-28,2016-10-27
47,-23.79,9.95400144436,0.87323943662,2065.45529971,2.06545529971,11.6302691304,8.40811217342,1.67626768601,1.54588927094,2016-10-28,2016-10-27
48,-24.12,10.5216305319,0.887323943662,2183.23833536,2.18323833536,12.2431974214,8.93044205742,1.72156688952,1.59118847445,2016-10-28,2016-10-27
49,-24.23,11.1651553156,0.901408450704,2316.76972799,2.31676972799,12.9366242505,9.52406479574,1.77146893492,1.64109051985,2016-10-28,2016-10-27
50,-24.31,11.9080501581,0.915492957746,2470.92040781,2.47092040781,13.7353702951,10.2111084363,1.82732013694,1.69694172187,2016-10-28,2016-10-27
51,-24.46,12.7867082632,0.929577464789,2653.24196461,2.65324196461,14.6778825513,11.0259123901,1.89117428814,1.76079587307,2016-10-28,2016-10-27
52,-25.07,13.8620988719,0.943661971831,2876.38551592,2.87638551592,15.8285079407,12.0260682182,1.96640906881,1.83603065374,2016-10-28,2016-10-27
53,-25.2,15.2485184982,0.957746478873,3164.06758837,3.16406758837,17.3077376322,13.3196777792,2.05921913406,1.92884071899,2016-10-28,2016-10-27
54,-25.58,17.202567212,0.971830985915,3569.53269648,3.56953269648,19.3857004453,15.1498123937,2.18313323333,2.05275481826,2016-10-28,2016-10-27
55,-25.63,20.543035552,0.985915492958,4262.67987704,4.26267987704,22.9226872958,18.2937622232,2.37965174384,2.24927332877,2016-10-28,2016-10-27
0,-13.97,0.105053145163,0.025,25.3178079843,0.0253178079843,0.409287453245,7.19491143222e-05,0.304234308082,0.104981196049,2016-11-23,2016-10-13
1,-14.88,0.212835246421,0.05,51.2932943876,0.0512932943876,0.603693961376,0.0212296435001,0.390858714954,0.191605602921,2016-11-23,2016-10-13
2,-16.03,0.323491873318,0.075,77.9615414697,0.0779615414697,0.782163725854,0.0640731328161,0.458671852535,0.259418740502,2016-11-23,2016-10-13
3,-19.0,0.437180562896,0.1,105.360515658,0.105360515658,0.954202824873,0.119411412951,0.517022261978,0.317769149944,2016-11-23,2016-10-13
4,-19.19,0.554072168566,0.125,133.531392625,0.133531392625,1.1235936147,0.183803834469,0.569521446131,0.370268334098,2016-11-23,2016-10-13
5,-19.5,0.674352404555,0.15,162.518929498,0.162518929498,1.29237420595,0.255583715195,0.618021801393,0.41876868936,2016-11-23,2016-10-13
6,-19.71,0.798223620944,0.175,192.371892647,0.192371892647,1.46185113542,0.333849218501,0.663627514476,0.464374402443,2016-11-23,2016-10-13
7,-20.36,0.925906851926,0.2,223.143551314,0.223143551314,1.63297035397,0.418096461916,0.707063502043,0.50781039001,2016-11-23,2016-10-13
8,-20.51,1.05764418933,0.225,254.892249629,0.254892249629,1.80648395555,0.508057535149,0.748839766215,0.549586654182,2016-11-23,2016-10-13
9,-20.68,1.19370154544,0.25,287.682072452,0.287682072452,1.98303636989,0.603619833033,0.789334824444,0.590081712411,2016-11-23,2016-10-13
