OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42648.671,6.047,5.039,2.016,1.008,4.031,0,0,0,0,0,0,0,0,0,0,0,6,8.33,0,0,18.14,0.992,3.74,x,1.22,3.72,4,1.01,3.91,26.79
42648.67101,3.023,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,5.038,0.992,3.74,x,0.18,0.2,0.2,0.99,3.83,26.23
42648.67103,9.071,5.039,2.016,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,7,12.33,0,18.141,0.992,3.75,x,0.89,2.29,2.6,0.99,3.8,25.74
42648.67104,5.038,2.015,9.068,0,0,2.015,0,0,1.008,0,0,0,0,0,0,0,6,0,8,0,19.144,0.992,3.76,x,1.31,5.25,22.62,1,3.83,25.67
42648.67105,6.046,5.038,1.008,3.023,0,3.023,1.008,0,1.008,0,0,0,0,0,0,0,6,9.33,8,0,20.152,0.992,3.79,x,1.19,7.9,27.27,1,3.91,25.7
42648.67106,12.092,3.023,4.031,2.015,1.008,0,2.015,0,1.008,0,0,0,0,0,0,0,6,7,0,0,25.191,0.992,3.8,x,1.27,7.22,27.47,1.01,3.98,25.74
42648.67107,4.031,6.046,3.023,2.015,0,0,0,0,0,0,0,0,0,1.008,1.008,0,6.33,9,0,0,17.131,0.992,3.81,x,0.96,1.72,182.56,1,3.93,28.75
42648.67109,2.016,7.055,3.023,1.008,0,0,1.008,0,0,1.008,0,0,0,0,0,0,6,6.33,0,0,15.117,0.992,3.84,x,0.88,3.76,38.46,1,3.93,28.94
42648.6711,8.062,1.008,3.023,2.015,1.008,0,0,0,1.008,0,0,0,0,0,0,0,6.33,7.67,0,0,16.123,0.992,3.84,x,0.89,3.42,19.95,1,3.92,28.77
42648.67111,10.076,4.03,3.023,2.015,0,1.008,0,1.008,0,1.008,0,0,0,0,0,0,6.67,8,12.33,9.67,22.167,0.992,3.83,x,1.07,5.26,45.55,1,3.95,29.08
