OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.51029,8.06,1.008,3.023,3.023,1.008,0,2.015,0,0,0,0,0,0,0,0,0,4.33,6,0,0,18.136,0.993,4.31,x,0.97,5.15,8.38,1.1,4.14,8.75
42643.5103,11.083,2.015,4.03,0,1.008,0,0,2.015,0,0,0,0,0,0,0,0,8.67,0,0,10.33,20.152,0.992,4.24,x,0.79,4.74,17.41,1.09,4.16,8.99
42643.51031,7.052,3.022,2.015,2.015,0,0,0,0,0,1.007,1.007,0,0,0,0,0,5.67,7.67,0,0,16.119,0.993,4.25,x,0.68,2.21,82.26,1.08,4.1,10.97
42643.51032,6.047,3.024,2.016,4.031,2.016,0,0,2.016,1.008,0,0,0,0,0,0,0,5.33,5.67,0,11,20.157,0.992,4.26,x,1.11,7.44,34.95,1.08,4.19,11.61
42643.51034,5.039,5.039,5.039,4.031,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,5,6.33,6.33,0,22.17,0.992,4.31,x,1.44,5.37,7.31,1.09,4.22,11.5
42643.51035,2.016,8.063,2.016,1.008,1.008,0,0,0,1.008,0,0,0,0,0,0,0,6.33,7,0,0,15.117,0.992,4.26,x,0.83,2.9,17.79,1.08,4.19,11.65
42643.51036,8.062,6.047,4.031,2.016,1.008,2.016,0,0,0,1.008,0,0,0,0,0,0,6.33,6.33,8,0,24.187,0.992,4.22,x,1.31,4.88,35.43,1.09,4.2,12.23
42643.51037,6.045,4.03,1.008,2.015,1.008,0,2.015,0,0,0,0,0,0,0,0,0,6,7.33,0,0,16.121,0.993,4.21,x,0.8,4.77,8.06,1.08,4.22,12.13
42643.51038,5.039,4.031,3.023,1.008,3.023,0,0,0,0,0,0,0,0,0,0,0,6,6.33,0,0,16.124,0.992,4.21,x,1,2.82,3.01,1.08,4.19,11.92
42643.51039,8.061,8.061,2.015,2.015,3.023,1.008,0,1.008,0,0,0,0,0,0,0,0,5.33,8,7,9,25.191,0.992,4.25,x,1.36,5.79,12.55,1.09,4.22,11.94
42643.51041,10.073,5.037,1.007,1.007,1.007,2.015,1.007,0,0,0,0,0,0,0,0,0,5.67,6.33,7.33,0,21.154,0.993,4.26,x,0.94,4.87,7.06,1.08,4.24,11.83
42643.51042,5.037,6.044,4.03,0,0,3.022,0,0,0,0,0,0,0,0,0,0,8,0,12,0,18.133,0.993,4.12,x,1.02,3.96,4.77,1.08,4.23,11.67
42643.51043,9.068,4.03,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,0,6.33,0,7.67,0,15.113,0.993,4.1,x,0.56,1.54,1.81,1.07,4.17,11.46
42643.51044,7.055,4.031,6.047,2.016,3.023,0,1.008,0,0,0,0,0,0,0,0,0,5.33,6.33,0,0,23.18,0.992,4.13,x,1.49,5.26,7.11,1.08,4.2,11.37
