OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.52058,4.032,8.065,8.065,3.024,1.008,2.016,2.016,1.008,0,0,0,0,0,0,0,0,5.33,7.33,10.33,9,29.235,0.992,4.54,x,1.74,9.15,18.61,1.22,4.45,11.96
42643.52059,9.072,6.048,4.032,0,2.016,2.016,0,0,0,0,0,0,0,0,0,0,6.33,0,8,0,23.185,0.992,4.48,x,1.14,3.9,4.51,1.22,4.44,11.79
42643.52061,10.08,4.032,5.04,2.016,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,6.33,7.33,9.33,0,26.207,0.992,4.43,x,1.41,6.06,8.23,1.22,4.44,11.63
42643.52062,4.032,2.016,3.024,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,9,0,9,0,11.088,0.992,4.35,x,0.62,2.09,2.4,1.22,4.44,11.61
42643.52063,6.048,3.024,5.04,4.032,4.032,1.008,1.008,0,0,1.008,0,0,0,0,0,0,5,6,9,0,25.2,0.992,4.37,x,1.65,7.48,38.46,1.22,4.46,11.72
42643.52064,12.097,10.081,7.057,0,0,1.008,0,0,0,0,0,0,0,0,0,0,5.67,0,7.67,0,30.243,0.992,4.37,x,1.39,2.73,2.99,1.22,4.44,11.7
42643.52065,9.073,8.065,3.024,3.024,1.008,0,0,0,0,0,0,0,0,0,0,0,6.33,11,0,0,24.195,0.992,4.31,x,1.26,2.6,2.69,1.22,4.43,11.38
42643.52066,7.056,9.072,4.032,1.008,2.016,0,1.008,0,0,0,0,0,0,0,0,0,5.67,5.67,0,0,24.191,0.992,4.31,x,1.27,4.16,5.85,1.22,4.44,11.37
42643.52068,7.057,2.016,4.032,3.024,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,5.33,11.67,7.67,13.67,19.154,0.992,4.32,x,1.1,4.86,11.4,1.22,4.44,11.4
42643.52069,6.048,7.056,3.024,1.008,0,2.016,1.008,0,0,0,0,0,0,0,0,0,5.33,7,7.33,0,20.16,0.992,4.35,x,1.01,4.56,6.64,1.22,4.45,11.4
42643.5207,8.065,6.048,5.04,3.024,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,5,4.67,7,0,25.202,0.992,4.4,x,1.4,5.06,6.95,1.22,4.46,11.41
42643.52071,13.105,7.057,3.024,0,3.024,0,1.008,0,0,0,0,0,0,0,0,0,7.33,0,0,0,27.218,0.992,4.26,x,1.21,4.29,6.05,1.23,4.47,11.43
42643.52072,6.048,6.048,1.008,2.016,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,0,6,7,9,0,19.153,0.992,4.25,x,0.94,5.48,22.27,1.23,4.48,11.5
42643.52074,9.073,5.04,6.049,4.032,1.008,4.032,1.008,0,0,0,0,0,0,0,0,0,6,7,7.33,0,30.243,0.992,4.24,x,1.87,8.48,11.25,1.23,4.48,11.49
42643.52075,8.065,2.016,1.008,1.008,0,0,1.008,0,0,0,0,0,0,0,0,0,9.67,7.67,0,0,13.105,0.992,4.15,x,0.5,2.31,3.96,1.22,4.46,11.48
42643.52076,2.016,7.056,5.04,3.024,2.016,2.016,0,0,0,1.008,0,0,0,0,0,0,5.33,7,6.67,0,22.177,0.992,4.19,x,1.56,5.9,36.72,1.22,4.46,11.57
42643.52077,9.071,2.016,3.024,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,7,7,0,0,17.134,0.992,4.17,x,0.81,3.2,4.9,1.22,4.46,11.55
42643.52078,10.08,5.04,3.024,0,0,1.008,0,0,0,0,0,0,0,0,0,0,8,0,6.33,0,19.152,0.992,4.06,x,0.82,1.96,2.23,1.22,4.44,11.53
42643.52079,9.072,1.008,6.048,0,1.008,2.016,0,0,0,0,0,0,0,0,0,0,5.67,0,10.33,0,19.153,0.992,4.06,x,1.08,3.72,4.34,1.22,4.45,11.53
42643.52081,4.032,7.055,2.016,3.024,2.016,0,1.008,0,0,0,0,0,0,0,0,0,7,8.67,0,0,19.15,0.992,4,x,1.25,4.67,6.52,1.22,4.45,11.51
42643.52082,3.024,6.049,3.024,2.016,1.008,3.024,0,1.008,0,0,0,0,0,0,0,0,8.67,9.67,9.67,13,19.155,0.992,3.86,x,1.32,7.13,15.03,1.22,4.45,11.53
42643.52083,11.087,5.04,3.024,2.016,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,9,8.33,13,0,25.198,0.992,3.74,x,1.42,6.29,8.79,1.22,4.46,11.55
42643.52084,11.087,7.055,6.047,5.04,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,5.33,6.33,8.67,0,33.261,0.992,3.82,x,2.17,7.89,10.38,1.23,4.47,11.56
42643.52085,4.032,6.047,3.024,2.016,0,2.016,1.008,0,0,0,0,0,0,0,0,0,8,6.33,8,0,18.142,0.992,3.74,x,1.2,5.57,8.01,1.23,4.48,11.55
42643.52086,9.072,1.008,5.04,2.016,0,4.032,0,0,1.008,0,0,0,0,0,0,0,6.33,8.33,7.33,0,22.175,0.992,3.74,x,1.39,7.47,25.58,1.23,4.48,11.61
42643.52088,8.065,3.024,4.033,2.016,0,1.008,1.008,0,0,0,0,0,0,0,0,0,4.67,6,8.33,0,19.154,0.992,3.79,x,1.12,4.51,6.63,1.22,4.46,11.59
42643.52089,10.08,7.056,4.032,1.008,1.008,2.016,0,0,0,0,0,0,0,0,0,0,5.67,7,7.33,0,25.2,0.992,3.84,x,1.41,4.37,5.03,1.23,4.47,11.5
42643.5209,7.057,5.04,3.024,2.016,1.008,0,2.016,0,0,0,0,0,0,0,0,0,5.33,7.33,0,0,20.162,0.992,3.89,x,1.14,5.58,9.15,1.23,4.47,11.51
42643.52091,9.073,4.032,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,5.67,6,0,0,18.146,0.992,3.92,x,0.95,2.09,2.18,1.22,4.47,11.5
42643.52092,5.04,5.04,9.072,4.032,0,3.024,0,1.008,0,0,0,0,0,0,0,0,5.67,6.67,7.67,9,27.215,0.992,3.95,x,1.98,8.02,15.71,1.23,4.46,11.2
42643.52093,12.096,4.032,4.032,1.008,0,0,1.008,1.008,0,0,0,0,0,0,0,0,4.67,5.67,0,8.33,23.184,0.992,4.01,x,0.99,4.79,13.17,1.22,4.46,11.21
42643.52095,14.111,4.032,6.047,3.024,1.008,0,0,0,0,0,0,0,0,0,0,0,3.67,6,0,0,28.222,0.992,4.12,x,1.49,3.05,3.15,1.23,4.46,11.19
42643.52096,12.095,4.032,6.048,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,4.67,7,0,0,25.198,0.992,4.17,x,1.24,3.84,5.54,1.22,4.45,11.18
42643.52097,10.084,2.017,7.059,1.008,0,0,0,0,0,0,0,0,0,0,0,1.008,6,9.67,0,0,21.176,0.992,4.17,x,1.05,1.73,69.89,1.22,4.43,11.35
42643.52098,13.105,9.072,2.016,2.016,2.016,2.016,0,0,0,0,0,0,0,0,0,0,6.33,8,8.33,0,30.241,0.992,4.13,x,1.51,4.84,5.52,1.22,4.42,11.32
42643.52099,11.089,4.032,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6,10.33,0,0,18.146,0.992,4.13,x,0.72,1.11,1.12,1.22,4.42,11.32
42643.52101,12.098,6.049,2.016,2.016,1.008,0,1.008,0,0,0,0,0,0,0,0,0,5.33,8,0,0,24.195,0.992,4.17,x,1.09,3.67,5.38,1.22,4.43,11.33
42643.52102,5.036,4.029,6.043,2.014,0,1.007,0,1.007,0,0,0,0,0,0,0,0,6,6.33,6.33,11,19.136,0.993,4.17,x,1.16,4.52,11.23,1.22,4.42,11.35
42643.52103,7.05,4.028,3.021,1.007,3.021,0,1.007,0,0,0,0,0,0,0,0,0,5.67,9,0,0,19.135,0.993,4.18,x,1.08,4.41,6.21,1.22,4.43,11.36
42643.52104,7.057,1.008,7.057,1.008,3.024,2.016,0,0,0,0,0,0,0,0,0,0,8.33,8.33,10,0,21.171,0.992,4.15,x,1.44,5.24,5.97,1.22,4.43,11.36
42643.52105,14.105,2.015,6.045,0,3.022,2.015,1.007,0,0,0,0,0,0,0,0,0,6.33,0,7.67,0,28.209,0.993,4.14,x,1.46,6.5,8.86,1.23,4.45,11.38
42643.52106,3.025,1.008,5.041,1.008,1.008,2.017,1.008,0,0,0,0,0,0,0,0,0,5.67,6.33,9.67,0,14.116,0.992,4.15,x,0.99,5.25,7.5,1.23,4.45,11.39
42643.52108,5.058,3.035,5.058,2.023,1.012,0,0,0,0,0,0,0,0,0,0,0,6.33,8.67,0,0,16.187,0.988,4.13,x,1.05,2.31,2.4,1.22,4.44,11.37
42643.52109,9.071,4.032,4.032,2.016,0,1.008,1.008,1.008,0,0,0,0,0,0,0,0,6.33,7,8.33,11,22.175,0.992,4.12,x,1.11,5.9,14.35,1.22,4.43,11.38
42643.5211,6.05,5.042,4.034,1.008,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.33,0,0,16.135,0.992,4.08,x,0.86,1.4,1.41,1.22,4.42,11.36
42643.52111,4.032,3.024,5.04,1.008,1.008,2.016,0,0,0,0,0,0,0,0,0,0,4.33,6.33,8,0,16.127,0.992,4.14,x,1.08,3.85,4.47,1.22,4.41,11.35
42643.52112,12.097,4.032,2.016,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,6,7.67,0,0,21.17,0.992,4.14,x,0.88,3.25,4.96,1.22,4.41,11.36
42643.52113,7.062,4.035,5.044,1.009,0,3.027,0,0,0,0,0,0,0,0,0,0,5.33,7,8,0,20.177,0.991,4.16,x,1.16,4.33,5.15,1.22,4.41,11.34
42643.52115,8.022,7.019,1.003,1.003,0,2.005,0,0,0,0,0,0,0,0,0,0,6.33,6.33,7,0,19.052,0.997,4.13,x,0.88,2.96,3.51,1.22,4.41,11.35
42643.52116,7.03,8.034,4.017,0,0,1.004,2.009,0,0,0,0,0,0,0,0,0,5.33,0,7,0,22.094,0.996,4.19,x,1.04,5.21,8.7,1.22,4.42,11.37
42643.52117,8.038,4.019,2.009,0,1.005,0,1.005,1.005,0,0,0,0,0,0,0,0,5,0,0,8.33,17.081,0.995,4.23,x,0.68,4.39,12.36,1.21,4.42,11.36
42643.52118,8.026,6.019,3.01,1.003,1.003,1.003,0,0,0,0,0,0,0,0,0,0,7,10.33,9.67,0,20.064,0.997,4.15,x,1.03,2.82,3.17,1.21,4.41,11.35
42643.52119,5.013,6.016,7.019,4.011,3.008,3.008,0,0,0,0,0,0,0,0,0,0,6,6.33,7.67,0,28.074,0.997,4.15,x,2.07,7.41,8.45,1.22,4.42,11.36
42643.5212,7.038,1.005,4.022,0,4.022,2.011,1.005,0,0,0,0,0,0,0,0,0,4.33,0,10,0,19.104,0.995,4.17,x,1.19,6.52,8.91,1.21,4.42,11.36
42643.52122,7.034,4.02,3.015,4.02,1.005,2.01,1.005,0,0,0,0,0,0,0,0,0,4.67,8,9,0,22.108,0.995,4.22,x,1.35,6.07,8.31,1.21,4.42,11.36
42643.52123,8.023,5.015,6.018,5.015,0,2.006,1.003,0,0,0,0,0,0,0,0,0,6.33,6.67,8.33,0,27.079,0.997,4.19,x,1.7,6.4,8.6,1.22,4.43,11.38
42643.52124,13.062,6.029,5.024,3.014,2.01,1.005,1.005,1.005,0,0,0,0,0,0,0,0,5.67,7,9.67,8.33,32.154,0.995,4.21,x,1.67,7.56,15.92,1.22,4.45,11.4
42643.52125,7.005,3.002,2.001,2.001,0,3.002,0,0,0,0,0,0,0,0,0,0,6,8.33,8,0,17.011,0.999,4.2,x,0.93,4.06,4.88,1.22,4.45,11.41
42643.52126,11.094,3.026,3.026,3.026,1.009,0,1.009,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,22.188,0.992,4.18,x,1.12,3.96,5.68,1.22,4.46,11.42
42643.52128,8.062,4.031,3.023,2.016,1.008,0,0,0,1.008,0,0,0,0,0,0,0,7,5.67,0,0,19.148,0.992,4.13,x,0.98,3.36,18.73,1.22,4.46,11.48
42643.52129,12.094,7.055,5.039,3.024,2.016,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,29.228,0.992,4.13,x,1.61,3.6,3.76,1.22,4.47,11.48
42643.5213,9.071,3.024,4.031,2.016,2.016,0,0,0,0,0,0,0,0,0,0,0,7.67,6.33,0,0,20.157,0.992,4.07,x,1.16,2.85,3,1.22,4.47,11.47
42643.52131,6.041,3.021,3.021,0,2.014,2.014,0,0,0,0,0,0,0,0,0,0,6,0,8,0,16.11,0.993,4.07,x,0.94,3.88,4.55,1.22,4.46,11.47
42643.52132,10.062,6.037,6.037,3.019,0,0,0,0,0,0,0,0,0,0,0,0,5.67,6,0,0,25.156,0.994,4.1,x,1.41,2.52,2.56,1.22,4.46,11.44
42643.52133,15.117,4.031,4.031,4.031,0,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8,7,0,28.219,0.992,4.11,x,1.41,3.48,3.8,1.22,4.45,11.43
42643.52135,10.08,2.016,4.032,0,1.008,1.008,0,0,1.008,0,0,0,0,0,0,0,5,0,13.67,0,19.152,0.992,4.14,x,0.86,3.72,19.31,1.22,4.46,11.49
42643.52136,12.095,4.032,5.04,0,1.008,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,22.175,0.992,4.12,x,1.01,1.84,1.91,1.22,4.45,11.47
42643.52137,6.046,5.038,4.031,3.023,1.008,3.023,0,1.008,0,0,0,0,0,0,0,0,5.67,8,7.33,8.33,23.177,0.992,4.14,x,1.45,7.14,14.52,1.22,4.45,11.47
42643.52138,8.065,5.041,1.008,4.033,1.008,0,0,1.008,0,0,0,0,0,0,0,0,6,11,0,9.67,20.163,0.992,4.13,x,1.08,4.19,10.78,1.22,4.45,11.48
42643.52139,8.065,4.033,2.016,4.033,3.025,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,21.172,0.992,4.18,x,1.32,3.74,3.96,1.22,4.44,11.42
42643.5214,4.032,6.048,2.016,3.024,0,0,0,0,0,0,0,0,0,0,0,0,5.67,7.67,0,0,15.119,0.992,4.19,x,0.9,1.73,1.77,1.22,4.43,11.41
42643.52142,11.087,10.079,6.048,5.04,3.024,0,1.008,0,0,0,0,0,0,0,0,0,6,6.67,0,0,36.286,0.992,4.18,x,2.19,6.63,8.49,1.23,4.45,11.43
42643.52143,9.069,5.038,2.015,9.069,2.015,4.031,1.008,0,0,0,0,0,0,0,0,0,5.67,7,7.33,0,32.246,0.992,4.19,x,2.2,10.17,13.08,1.23,4.48,11.47
42643.52144,7.055,8.063,4.032,2.016,3.024,2.016,1.008,0,0,0,0,0,0,0,0,0,6.67,12,7.67,0,27.213,0.992,4.13,x,1.67,7.1,9.49,1.23,4.48,11.36
42643.52145,10.084,8.067,5.042,3.025,1.008,1.008,2.017,0,0,0,0,0,0,0,0,0,5.33,8,10.33,0,30.252,0.992,4.18,x,1.65,7.02,10.62,1.23,4.48,11.35
42643.52146,5.038,1.008,4.03,3.023,1.008,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,6.33,9.33,7.67,9.67,18.135,0.993,4.18,x,1.09,7.14,45.78,1.23,4.49,11.5
42643.52147,9.071,5.04,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17.135,0.992,4.17,x,0.72,1.35,1.41,1.23,4.49,11.49
42643.52149,8.058,2.014,6.043,3.022,2.014,0,0,1.007,0,0,0,0,0,0,0,0,4.67,8.67,0,11,22.159,0.993,4.2,x,1.36,4.95,11.48,1.24,4.49,11.5
42643.5215,4.029,2.014,1.007,3.022,1.007,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,11.079,0.993,4.15,x,0.72,1.93,2.02,1.23,4.46,11.41
42643.52151,6.049,8.065,4.032,3.024,1.008,1.008,2.016,1.008,0,0,0,0,0,0,0,0,4.67,8,7.67,12.33,26.21,0.992,4.26,x,1.46,8.27,18.09,1.23,4.48,11.45
42643.52152,14.115,6.049,4.033,0,3.025,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,27.222,0.992,4.29,x,1.23,2.88,3.06,1.23,4.47,11.43
42643.52153,13.101,2.016,4.031,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,8,0,8.33,0,21.164,0.992,4.24,x,0.9,2.47,2.8,1.23,4.47,11.44
42643.52155,8.061,3.023,8.061,3.023,0,0,1.008,0,1.008,0,0,0,0,0,0,0,6,7.67,0,0,24.183,0.992,4.23,x,1.39,5.27,21.82,1.23,4.47,11.38
42643.52156,10.08,3.024,1.008,1.008,5.04,2.016,0,0,0,0,0,0,0,0,0,0,5.33,7,7.33,0,22.176,0.992,4.25,x,1.24,5.5,6.33,1.23,4.48,11.39
42643.52157,9.068,11.083,5.038,3.023,1.008,3.023,0,0,0,0,0,0,0,0,0,0,6.33,8.33,9.33,0,32.24,0.993,4.19,x,1.87,5.97,6.87,1.23,4.48,11.39
42643.52158,12.093,4.031,6.047,4.031,0,2.016,0,0,0,0,0,0,0,0,0,0,7,7.33,11,0,28.218,0.992,4.14,x,1.61,4.66,5.25,1.23,4.47,11.34
42643.52159,11.087,4.032,2.016,3.024,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,6,8,7.67,0,23.182,0.992,4.14,x,1.17,4.85,6.86,1.24,4.48,11.36
42643.5216,7.055,3.024,2.016,0,0,2.016,0,0,0,0,0,0,0,0,0,0,6,0,9,0,14.11,0.992,4.14,x,0.64,2.54,3.08,1.24,4.48,11.36
42643.52162,12.093,8.062,6.047,0,0,1.008,1.008,0,0,0,0,0,0,0,0,0,5.67,0,9.67,0,28.217,0.992,4.16,x,1.3,4.13,6.03,1.24,4.48,11.37
42643.52163,12.095,4.032,8.063,3.024,1.008,1.008,2.016,0,0,0,0,0,0,0,0,0,6.33,8.67,8.33,0,31.245,0.992,4.14,x,1.78,7.35,10.99,1.24,4.5,11.39
42643.52164,8.065,7.057,6.049,0,1.008,1.008,2.016,0,0,0,0,0,0,0,0,0,5,0,6.33,0,25.202,0.992,4.21,x,1.3,6.03,9.57,1.24,4.5,11.39
42643.52165,4.032,7.055,5.04,1.008,0,3.024,0,0,0,0,1.008,0,0,0,0,0,5.33,7,7.33,0,21.166,0.992,4.25,x,1.22,4.62,55.67,1.24,4.5,11.54
42643.52166,5.04,6.048,4.032,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,5.67,8,7.67,0,18.143,0.992,4.26,x,1.05,2.62,2.91,1.24,4.49,11.54
42643.52167,10.08,3.024,5.04,2.016,1.008,2.016,0,0,0,0,0,0,0,0,0,0,5.33,7.67,7,0,23.184,0.992,4.28,x,1.27,4.17,4.78,1.24,4.5,11.54
42643.52169,5.039,1.008,3.023,3.023,0,2.015,1.008,0,0,0,0,0,0,0,0,0,3.67,6.33,7.33,0,15.116,0.992,4.3,x,0.93,4.89,7.02,1.24,4.49,11.52
42643.5217,14.112,6.048,7.056,5.04,1.008,0,1.008,0,0,0,0,0,0,0,0,0,5.67,7,0,0,34.271,0.992,4.31,x,1.86,5.31,7,1.24,4.5,11.53
42643.52171,7.056,6.048,1.008,1.008,2.016,0,1.008,0,0,0,0,0,0,0,0,0,6,8.33,0,0,18.145,0.992,4.29,x,0.87,3.56,5.26,1.24,4.5,11.53
42643.52172,3.024,5.04,5.04,0,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,4.33,0,8.33,0,18.143,0.992,4.37,x,1.13,5.43,7.61,1.24,4.5,11.52
42643.52173,12.099,2.016,4.033,1.008,0,2.016,0,0,0,0,0,0,0,0,0,0,5.33,18.33,8,0,21.173,0.992,4.38,x,0.93,3.05,3.57,1.23,4.49,11.47
42643.52174,14.11,8.063,7.055,3.024,4.032,2.016,0,0,0,0,0,0,0,0,0,0,5.33,7,7.67,0,38.3,0.992,4.41,x,2.13,6.62,7.39,1.24,4.5,11.48
42643.52176,7.054,4.031,4.031,1.008,1.008,2.015,1.008,0,0,0,0,0,0,0,0,0,6.33,8.33,8.33,0,20.153,0.992,4.37,x,1.07,5.08,7.21,1.24,4.5,11.38
42643.52177,5.039,1.008,3.023,3.023,1.008,3.023,0,0,0,0,0,0,0,0,0,0,7.67,8.33,11.33,0,16.125,0.992,4.35,x,1.07,4.82,5.69,1.24,4.5,11.36
42643.52178,10.079,6.048,5.04,1.008,0,2.016,0,0,1.008,0,0,0,0,0,0,0,5.67,7,7.33,0,25.198,0.992,4.35,x,1.18,4.59,19.64,1.24,4.51,11.41
42643.52179,15.126,4.034,6.051,3.025,1.008,0,0,0,0,0,0,0,0,0,0,0,6.33,7,0,0,29.245,0.992,4.32,x,1.44,2.93,3.03,1.24,4.5,11.4
42643.5218,7.053,4.031,6.046,1.008,1.008,0,0,0,0,0,0,0,0,0,0,0,5,8.33,0,0,19.145,0.992,4.35,x,1.06,2.11,2.19,1.24,4.49,11.39
42643.52181,9.071,5.039,4.031,2.016,0,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7.33,9,0,21.165,0.992,4.29,x,1.07,2.63,2.91,1.24,4.48,11.37
42643.52183,6.053,4.035,2.018,2.018,1.009,0,0,0,0,1.009,0,0,0,0,0,0,6,8.67,0,0,16.141,0.991,4.28,x,0.81,2.51,32.15,1.24,4.47,11.45
42643.52184,17.127,3.022,5.037,6.045,0,2.015,1.007,0,0,0,0,0,0,0,0,0,5.67,6.67,7,0,34.254,0.993,4.28,x,1.77,6.53,8.71,1.24,4.47,11.44
42643.52185,10.081,5.04,3.024,0,2.016,1.008,0,0,0,0,0,0,0,0,0,0,8,0,9.67,0,21.169,0.992,4.16,x,1.02,3.05,3.44,1.24,4.46,11.43
42643.52186,7.055,7.055,6.047,3.024,1.008,0,1.008,0,1.008,0,0,0,0,0,0,0,6.33,8,0,0,26.205,0.992,4.13,x,1.53,5.88,22.9,1.24,4.48,11.5
42643.52187,2.016,2.016,5.039,3.024,2.016,1.008,2.016,0,0,0,0,1.008,0,0,0,0,6.67,7.33,8.33,0,18.142,0.992,4.11,x,1.32,7.28,84.48,1.24,4.48,11.74
42643.52189,8.065,5.04,8.065,0,1.008,0,0,0,0,0,0,1.008,0,0,0,0,5.67,0,0,0,23.185,0.992,4.13,x,1.26,2.38,75.62,1.24,4.48,11.98
42643.5219,10.08,2.016,4.032,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,5.67,7.67,0,0,19.151,0.992,4.14,x,1,2.19,2.28,1.24,4.48,11.97
42643.52191,7.056,9.072,4.032,1.008,1.008,3.024,0,0,0,0,0,0,0,0,0,0,6,7.67,8.33,0,25.199,0.992,4.13,x,1.43,5.07,5.96,1.24,4.47,11.96
42643.52192,11.087,4.032,6.047,2.016,3.024,0,2.016,0,0,0,0,0,0,0,0,0,5.33,7,0,0,28.222,0.992,4.16,x,1.59,6.85,10.31,1.24,4.48,11.98
42643.52193,8.063,9.07,3.023,3.023,2.016,2.016,0,0,1.008,0,0,0,0,0,0,0,5.33,6.67,8,0,28.219,0.992,4.22,x,1.59,6.34,21.99,1.24,4.47,11.99
42643.52194,7.055,3.024,4.031,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,5.67,6.33,0,0,17.134,0.992,4.22,x,0.9,3.33,5.01,1.24,4.48,12
42643.52196,12.097,5.04,9.073,1.008,1.008,2.016,0,0,0,0,0,0,0,0,0,0,6.67,6.33,8.33,0,30.242,0.992,4.18,x,1.69,4.71,5.33,1.25,4.48,11.98
42643.52197,11.087,4.031,3.024,2.016,1.008,2.016,1.008,0,0,0,0,0,0,0,0,0,5.33,8.33,7,0,24.189,0.992,4.2,x,1.21,5.54,7.76,1.25,4.47,11.91
42643.52198,8.065,3.024,4.033,0,1.008,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16.13,0.992,4.2,x,0.77,1.52,1.58,1.24,4.47,11.9
42643.52199,12.096,7.056,4.032,3.024,2.016,1.008,1.008,0,0,0,0,0,0,0,0,0,6.33,7,9.67,0,30.239,0.992,4.17,x,1.63,5.9,7.95,1.25,4.47,11.9
42643.522,11.088,5.04,6.048,2.016,0,1.008,0,0,1.008,0,0,0,0,0,0,0,6.33,7.67,9,0,26.207,0.992,4.14,x,1.33,4.32,19.85,1.24,4.47,11.85
42643.52201,8.063,3.024,6.047,2.016,0,0,0,0,0,0,0,0,0,0,0,0,8,7.33,0,0,19.149,0.992,4.08,x,1.11,1.97,2,1.24,4.46,11.59
42643.52203,9.072,8.064,2.016,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,5.67,7.67,7.67,0,22.177,0.992,4.11,x,1.08,2.85,3.2,1.24,4.45,11.58
42643.52204,10.08,8.064,5.04,3.024,1.008,0,0,0,0,0,0,0,0,0,0,0,6.33,7.67,0,0,27.217,0.992,4.08,x,1.53,3.08,3.18,1.24,4.44,11.54
42643.52205,9.07,7.054,1.008,4.031,1.008,2.016,0,0,0,0,0,0,0,0,0,0,6.33,7,7.33,0,24.186,0.992,4.06,x,1.38,4.66,5.32,1.24,4.43,11.53
42643.52206,6.048,5.04,2.016,1.008,2.016,3.024,1.008,0,0,0,0,0,0,0,0,0,6.67,5.67,7.33,0,20.16,0.992,4.03,x,1.2,6.8,9.45,1.24,4.44,11.53
42643.52207,5.04,1.008,6.048,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,7.67,7,7,0,14.111,0.992,4.01,x,0.93,2.46,2.75,1.24,4.44,11.52
42643.52208,11.088,5.04,4.032,2.016,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6.33,9,7.67,0,24.191,0.992,4,x,1.3,3.45,3.82,1.24,4.43,11.51
42643.5221,7.055,8.063,4.031,2.016,1.008,1.008,0,0,0,0,0,0,0,0,0,0,4.67,5.33,7,0,23.18,0.992,4.12,x,1.33,3.45,3.81,1.24,4.43,11.46
42643.52211,12.095,11.088,7.056,7.056,1.008,1.008,0,0,0,0,0,0,0,0,0,0,4.33,5.33,5.67,0,39.31,0.992,4.31,x,2.33,5.63,6.03,1.25,4.44,11.47
42643.52212,6.048,6.048,1.008,1.008,1.008,3.024,0,0,0,0,0,0,0,0,0,0,6.67,9,7.67,0,18.145,0.992,4.24,x,0.96,4.29,5.15,1.25,4.44,11.47
42643.52213,16.128,7.056,3.024,1.008,0,1.008,0,0,0,0,0,0,0,0,0,0,6,7,7,0,28.224,0.992,4.23,x,1.12,2.44,2.72,1.25,4.43,11.45
42643.52214,8.063,3.024,4.032,2.016,3.024,0,0,1.008,0,0,0,1.008,0,0,0,0,5.33,8,0,8.33,22.174,0.992,4.25,x,1.21,4.98,82.68,1.25,4.42,11.7
42643.52216,6.048,1.008,7.056,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,4.33,6.33,0,0,17.136,0.992,4.26,x,1.12,2.44,2.53,1.24,4.41,11.68
42643.52217,13.103,8.064,2.016,2.016,2.016,1.008,0,0,0,0,0,0,0,0,0,0,4.67,6,5.67,0,28.223,0.992,4.36,x,1.3,3.62,4.02,1.24,4.41,11.67
42643.52218,11.089,7.056,6.048,6.048,0,1.008,1.008,0,0,0,0,0,0,0,0,0,6.33,7,7.67,0,32.258,0.992,4.31,x,1.85,5.84,7.75,1.24,4.4,11.66
42643.52219,9.07,4.031,7.055,3.023,0,1.008,0,1.008,0,0,0,0,0,0,0,0,6.67,8,9.67,10.33,25.195,0.992,4.26,x,1.41,4.97,11.55,1.25,4.4,11.66
42643.5222,8.062,7.054,9.07,5.039,1.008,2.016,0,0,0,0,0,0,0,0,0,0,5.67,7.33,8.67,0,32.248,0.992,4.27,x,2.12,5.94,6.58,1.25,4.41,11.46
